"plotCode","focalOrBenchmark","landCover","vegClass","stratum","cover"
"BB_A2","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Herb",0.99
"BB_S_Oc","b","Wetland","Wetland","Bryophyte",0.3
"BB_S_Oc","b","Wetland","Wetland","Herb",0.89
"BB_S_Oc","b","Wetland","Wetland","Shrub",0.23
"BB_S_Oc","b","Wetland","Wetland","Tree",0.62
"BB_V8","b","Wetland","Wetland","Bryophyte",0.6
"BB_V8","b","Wetland","Wetland","Herb",0.59
"BB_V8","b","Wetland","Wetland","Shrub",0.46
"BB_V8","b","Wetland","Wetland","Tree",0.4
"BB_WL_7","b","Wetland","Wetland","Bryophyte",0.95
"BB_WL_7","b","Wetland","Wetland","Herb",0.68
"BB_WL_7","b","Wetland","Wetland","Shrub",0.59
"BB_WL1","b","Wetland","Wetland","Bryophyte",1
"BB_WL1","b","Wetland","Wetland","Herb",0.76
"BB_WL1","b","Wetland","Wetland","Shrub",0.6
"BB_WL10","b","Wetland","Wetland","Bryophyte",1
"BB_WL10","b","Wetland","Wetland","Herb",0.43
"BB_WL10","b","Wetland","Wetland","Shrub",0.44
"BBA7OCT","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Bryophyte",0.02
"BBA7OCT","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Herb",0.79
"BBA7OCT","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Shrub",0.12
"BBA8OCT","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Bryophyte",0.1
"BBA8OCT","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Herb",1
"BBA8OCT","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Shrub",0.07
"BBAOCT1","f","BF/BS Forest, Early-Mid [Established Rec]","BF/BS Forest, Early-Mid","Bryophyte",0.82
"BBAOCT1","f","BF/BS Forest, Early-Mid [Established Rec]","BF/BS Forest, Early-Mid","Herb",0.81
"BBAOCT1","f","BF/BS Forest, Early-Mid [Established Rec]","BF/BS Forest, Early-Mid","Shrub",0.27
"BBAOct2","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Bryophyte",0.1
"BBAOct2","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Herb",1
"BBAOct2","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Shrub",0.02
"BBAOct3","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Herb",0.44
"BBAOct3","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Shrub",0.02
"BBREGO","f","BF/BS Forest, Early-Mid [Established Rec]","BF/BS Forest, Early-Mid","Bryophyte",0.72
"BBREGO","f","BF/BS Forest, Early-Mid [Established Rec]","BF/BS Forest, Early-Mid","Herb",0.83
"BBREGO","f","BF/BS Forest, Early-Mid [Established Rec]","BF/BS Forest, Early-Mid","Shrub",0.79
"BBREGO","f","BF/BS Forest, Early-Mid [Established Rec]","BF/BS Forest, Early-Mid","Tree",0.25
"BBS6REV","b","Wetland","Wetland","Bryophyte",0.97
"BBS6REV","b","Wetland","Wetland","Herb",0.22
"BBS6REV","b","Wetland","Wetland","Shrub",0.69
"BBS6REV","b","Wetland","Wetland","Tree",0.45
"BBV2REV","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Bryophyte",1
"BBV2REV","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Herb",0.3
"BBV2REV","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Shrub",0.05
"BBV2REV","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Tree",1
"BBWL4","b","Wetland","Wetland","Bryophyte",1
"BBWL4","b","Wetland","Wetland","Herb",0.13
"BBWL4","b","Wetland","Wetland","Shrub",0.35
"DP23-10","b","Wetland","Wetland","Bryophyte",0.66
"DP23-10","b","Wetland","Wetland","Shrub",1
"DP23-10","b","Wetland","Wetland","Tree",0.5
"DP23-11","b","Wetland","Wetland","Bryophyte",0.66
"DP23-11","b","Wetland","Wetland","Shrub",0.875
"DP23-11","b","Wetland","Wetland","Tree",0.47
"DP23-13","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Bryophyte",0.71
"DP23-13","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Shrub",0.48200000000000004
"DP23-13","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Tree",0.55
"DP23-15","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Bryophyte",0.92
"DP23-15","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Shrub",0.44800000000000006
"DP23-15","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Tree",0.55
"DP23-17","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Bryophyte",0.22
"DP23-17","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Shrub",0.8059999999999999
"DP23-17","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Tree",0.38
"DP23-18","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Bryophyte",0.855
"DP23-18","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Shrub",0.113
"DP23-18","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Tree",0.82
"DP23-19","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Bryophyte",0.83
"DP23-19","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Shrub",0.185
"DP23-19","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Tree",0.88
"DP23-2","b","Wetland","Wetland","Bryophyte",0.03
"DP23-2","b","Wetland","Wetland","Shrub",1
"DP23-2","b","Wetland","Wetland","Tree",0.1
"DP23-20","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Bryophyte",0.85
"DP23-20","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Shrub",0.17
"DP23-20","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Tree",0.72
"DP23-21","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Bryophyte",0.93
"DP23-21","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Herb",0.01
"DP23-21","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Shrub",0.3
"DP23-21","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Tree",1
"DP23-23","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Bryophyte",1
"DP23-23","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Shrub",1
"DP23-23","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Tree",0.74
"DP23-24","b","Wetland","Wetland","Bryophyte",0.05
"DP23-24","b","Wetland","Wetland","Shrub",0.17
"DP23-25","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Shrub",0.01
"DP23-26","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Shrub",0.008
"DP23-27","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Bryophyte",0.02
"DP23-27","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Shrub",0.3720000000000001
"DP23-28","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Bryophyte",0.22
"DP23-28","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Shrub",0.7850000000000001
"DP23-29","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Bryophyte",1
"DP23-29","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Shrub",0.295
"DP23-29","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Tree",0.7
"DP23-31","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Bryophyte",0.9
"DP23-31","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Shrub",0.12499999999999999
"DP23-31","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Tree",0.73
"DP23-34","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Bryophyte",0.89
"DP23-34","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Shrub",0.2730000000000001
"DP23-34","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Tree",0.73
"DP23-35","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Bryophyte",1
"DP23-35","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Shrub",0.485
"DP23-35","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Tree",0.63
"DP23-36","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Bryophyte",0.76
"DP23-36","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Shrub",0.004
"DP23-36","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Tree",0.8
"DP23-38","b","Wetland","Wetland","Bryophyte",0.45
"DP23-38","b","Wetland","Wetland","Shrub",0.77
"DP23-38","b","Wetland","Wetland","Tree",0.37
