"plotCode","focalOrBenchmark","landCover","vegClass","stratum","cover"
"BB_A2","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Herb",0.08
"BB_S_Oc","b","Wetland","Wetland","Herb",0
"BB_S_Oc","b","Wetland","Wetland","Shrub",0
"BB_S_Oc","b","Wetland","Wetland","Tree",0
"BB_V8","b","Wetland","Wetland","Herb",0
"BB_V8","b","Wetland","Wetland","Shrub",0
"BB_V8","b","Wetland","Wetland","Tree",0
"BB_WL_7","b","Wetland","Wetland","Herb",0
"BB_WL_7","b","Wetland","Wetland","Shrub",0
"BB_WL1","b","Wetland","Wetland","Herb",0.3
"BB_WL1","b","Wetland","Wetland","Shrub",0
"BB_WL10","b","Wetland","Wetland","Herb",0
"BB_WL10","b","Wetland","Wetland","Shrub",0
"BBA7OCT","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Herb",0.47
"BBA7OCT","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Shrub",0
"BBA8OCT","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Herb",0.77
"BBA8OCT","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Shrub",0
"BBAOCT1","f","BF/BS Forest, Early-Mid [Established Rec]","BF/BS Forest, Early-Mid","Herb",0.06
"BBAOCT1","f","BF/BS Forest, Early-Mid [Established Rec]","BF/BS Forest, Early-Mid","Shrub",0
"BBAOct2","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Herb",0.6
"BBAOct2","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Shrub",0
"BBAOct3","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Herb",0.09
"BBAOct3","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Shrub",0
"BBREGO","f","BF/BS Forest, Early-Mid [Established Rec]","BF/BS Forest, Early-Mid","Herb",0
"BBREGO","f","BF/BS Forest, Early-Mid [Established Rec]","BF/BS Forest, Early-Mid","Shrub",0
"BBREGO","f","BF/BS Forest, Early-Mid [Established Rec]","BF/BS Forest, Early-Mid","Tree",0
"BBS6REV","b","Wetland","Wetland","Herb",0
"BBS6REV","b","Wetland","Wetland","Shrub",0
"BBS6REV","b","Wetland","Wetland","Tree",0
"BBV2REV","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Herb",0
"BBV2REV","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Shrub",0
"BBV2REV","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Tree",0
"BBWL4","b","Wetland","Wetland","Herb",0
"BBWL4","b","Wetland","Wetland","Shrub",0
"DP23-10","b","Wetland","Wetland","Shrub",0
"DP23-10","b","Wetland","Wetland","Tree",0
"DP23-11","b","Wetland","Wetland","Shrub",0
"DP23-11","b","Wetland","Wetland","Tree",0
"DP23-13","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Shrub",0
"DP23-13","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Tree",0
"DP23-15","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Shrub",0
"DP23-15","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Tree",0
"DP23-17","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Shrub",0
"DP23-17","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Tree",0
"DP23-18","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Shrub",0
"DP23-18","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Tree",0
"DP23-19","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Shrub",0
"DP23-19","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Tree",0
"DP23-2","b","Wetland","Wetland","Shrub",0
"DP23-2","b","Wetland","Wetland","Tree",0
"DP23-20","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Shrub",0
"DP23-20","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Tree",0
"DP23-21","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Herb",0
"DP23-21","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Shrub",0
"DP23-21","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Tree",0
"DP23-23","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Shrub",0
