"plotCode","focalOrBenchmark","landCover","vegClass","stratum","cover"
"BB_A2","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","SubstrateWater","0"
"BB_A2","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","SubstrateBedrock","0"
"BB_A2","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","SubstrateOrganicMatter","0"
"BB_A2","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","SubstrateMineralSoil","0.45"
"BB_A2","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","SubstrateRocks","0.15"
"BB_A2","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","SubstrateDecWood","0.2"
"BB_S_Oc","b","Wetland","Wetland","SubstrateOrganicMatter","0.4"
"BB_S_Oc","b","Wetland","Wetland","SubstrateRocks","0.05"
"BB_S_Oc","b","Wetland","Wetland","SubstrateWater","0"
"BB_S_Oc","b","Wetland","Wetland","SubstrateDecWood","0.1"
"BB_S_Oc","b","Wetland","Wetland","SubstrateMineralSoil","0.05"
"BB_S_Oc","b","Wetland","Wetland","SubstrateBedrock","0"
"BB_V8","b","Wetland","Wetland","SubstrateMineralSoil","0.05"
"BB_V8","b","Wetland","Wetland","SubstrateWater","0.05"
"BB_V8","b","Wetland","Wetland","SubstrateOrganicMatter","0.1"
"BB_V8","b","Wetland","Wetland","SubstrateRocks","0"
"BB_V8","b","Wetland","Wetland","SubstrateBedrock","0"
"BB_V8","b","Wetland","Wetland","SubstrateDecWood","0.1"
"BB_WL_7","b","Wetland","Wetland","SubstrateWater","0.05"
"BB_WL_7","b","Wetland","Wetland","SubstrateBedrock","0"
"BB_WL_7","b","Wetland","Wetland","SubstrateOrganicMatter","0"
"BB_WL_7","b","Wetland","Wetland","SubstrateMineralSoil","0"
"BB_WL_7","b","Wetland","Wetland","SubstrateRocks","0"
"BB_WL_7","b","Wetland","Wetland","SubstrateDecWood","0"
"BB_WL1","b","Wetland","Wetland","SubstrateOrganicMatter","0"
"BB_WL1","b","Wetland","Wetland","SubstrateRocks","0"
"BB_WL1","b","Wetland","Wetland","SubstrateWater","0"
"BB_WL1","b","Wetland","Wetland","SubstrateDecWood","0"
"BB_WL1","b","Wetland","Wetland","SubstrateMineralSoil","0"
"BB_WL1","b","Wetland","Wetland","SubstrateBedrock","0"
"BB_WL10","b","Wetland","Wetland","SubstrateWater","0"
"BB_WL10","b","Wetland","Wetland","SubstrateOrganicMatter","0"
"BB_WL10","b","Wetland","Wetland","SubstrateMineralSoil","0"
"BB_WL10","b","Wetland","Wetland","SubstrateBedrock","0"
"BB_WL10","b","Wetland","Wetland","SubstrateDecWood","0"
"BB_WL10","b","Wetland","Wetland","SubstrateRocks","0"
"BBA7OCT","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","SubstrateOrganicMatter","0.05"
"BBA7OCT","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","SubstrateDecWood","0.1"
"BBA7OCT","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","SubstrateMineralSoil","0.35"
"BBA7OCT","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","SubstrateRocks","0.2"
"BBA7OCT","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","SubstrateWater","0"
