"plotCode","focalOrBenchmark","vegClass","landCover"
"DP23-66","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid"
"DP23-70","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"DP23-65","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid"
"BBV2REV","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid"
"TV13_A","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid"
"TV_12","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid"
"T_V10","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid"
"TV_14","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"T_V1","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid"
"T_V9","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid"
"TV11","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid"
"T_V5","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid"
"T_V6","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid"
"T_V7","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid"
"DP23-8","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"DP23-4","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"DP23-13","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"DP23-15","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"DP23-9","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid"
"DP23-23","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"DP23-21","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"DP23-20","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid"
"DP23-19","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid"
"DP23-18","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid"
"DP23-17","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid"
"DP23-53","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"DP23-47","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Established Rec]"
"DP23-28","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Reclaimed]"
"BBREGO","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Established Rec]"
"DP23-44","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Established Rec]"
"DP23-41","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Established Rec]"
"DP23-46","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Established Rec]"
"BBAOCT1","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Established Rec]"
"DP2405","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"DP2402","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"DP2406","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"T_WL6","b","Wetland","Wetland"
"T_S11","b","Wetland","Wetland"
"T_S13","b","Wetland","Wetland"
"T_WL4","b","Wetland","Wetland"
"DP23-11","b","Wetland","Wetland"
"DP23-24","b","Wetland","Wetland"
"DP23-52","b","Wetland","Wetland"
"DP23-64","b","Wetland","Wetland"
"DP23-57","b","Wetland","Wetland"
"BBWL4","b","Wetland","Wetland"
"BB_WL1","b","Wetland","Wetland"
"T_WL2","b","Wetland","Wetland"
"BB_WL_7","b","Wetland","Wetland"
"DP23-69","b","Wetland","Wetland"
"DP23-36","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"DP23-35","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"DP23-34","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"DP23-31","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"DP23-29","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"DP23-50","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"DP23-63","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"DP23-62","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"DP23-61","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"DP23-59","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"DP23-58","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"BBAOct3","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Reclaimed]"
"DP23-45","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Established Rec]"
"BBA8OCT","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Reclaimed]"
"DP23-42","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Established Rec]"
"DP23-48","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Established Rec]"
