"speciesID","genus","species","is_exotic","growthForm"
1,"Endotropis","Endotropis alnifolia",0,"Tree"
2,"Trifolium","Trifolium hybridum",1,"Herb"
3,"Sorbus","Sorbus americana",0,"Tree"
4,"Mylia","Mylia anomala",0,"Bryophytes"
5,"Symphyotrichum","Symphyotrichum sp.",0,"Herb"
6,"Scorzoneroides","Scorzoneroides autumnalis",1,"Herb"
7,"Rubus","Rubus chamaemorus",0,"Shrub"
8,"Abies","Abies balsamea",0,"Tree"
9,"Populus","Populus balsamifera",0,"Tree"
10,"Polytrichum","Polytrichum formosum",0,"Bryophytes"
11,"Barbilophozia","Barbilophozia sp.",0,"Bryophytes"
12,"Callicladium","Callicladium haldanianum",0,"Bryophytes"
13,"Agrostis","Agrostis sp.",1,"Herb"
14,"Scirpus","Scirpus atrocinctus",0,"Herb"
15,"Empetrum","Empetrum nigrum",0,"Shrub"
16,"Picea","Picea mariana",0,"Tree"
17,"Clintonia","Clintonia borealis",0,"Herb"
18,"Vaccinium","Vaccinium angustifolium",0,"Shrub"
19,"Poa","Poa sp.",0,"Herb"
20,"Calamagrostis","Calamagrostis canadensis",0,"Herb"
21,"Aster","Aster nemoralis",0,"Herb"
22,"Dicranum","Dicranum undulatum",0,"Bryophytes"
23,"Solidago","Solidago uliginosa",0,"Herb"
24,"Kalmia","Kalmia polifolia",0,"Shrub"
25,"Oclemena","Oclemena nemoralis",0,"Herb"
26,"Andromeda","Andromeda glaucophylla",0,"Shrub"
27,"Menyanthes","Menyanthes trifoliata",0,"Herb"
28,"Sanguisorba","Sanguisorba canadensis",0,"Herb"
29,"Plagiothecium","Plagiothecium laetum",0,"Bryophytes"
30,"Ribes","Ribes lacustre",0,"Shrub"
31,"Aralia","Aralia hispida",0,"Herb"
32,"Spiraea","Spiraea alba var. latifolia",0,"Shrub"
33,"Sphagnum","Sphagnum fuscum",0,"Bryophytes"
34,"Scirpus","Scirpus sp.",0,"Herb"
35,"Ranunculus","Ranunculus repens",1,"Herb"
36,"Maianthemum","Maianthemum canadense",0,"Herb"
37,"Hypericum","Hypericum canadense",0,"Herb"
38,"Cirsium","Cirsium arvense",1,"Herb"
39,"Cladonia","Cladonia raniferina",0,"Bryophytes"
40,"Spinulum","Spinulum annotinum",0,"Herb"
41,"Ilex","Ilex mucronata",0,"Shrub"
42,"Atrichum","Atrichum undulatum",1,"Bryophytes"
43,"Typha","Typha latifolia",0,"Herb"
44,"Sphagnum","Sphagnum centrale",0,"Bryophytes"
45,"Cephalozia","Cephalozia sp.",0,"Bryophytes"
46,"Aronia","Aronia prunifolia",0,"Shrub"
47,"Amelanchier","Amelanchier sp.",0,"Shrub"
48,"Cladonia","Cladonia sp.",0,"Bryophytes"
49,"Lycopodium","Lycopodium spp.",0,"Herb"
50,"Platanthera","Platanthera clavellata",0,"Herb"
51,"Codriophorus","Codriophorus fascicularis",0,"Bryophytes"
52,"Agrostis","Agrostis capillaris",1,"Herb"
53,"Tussilago","Tussilago farfara",1,"Herb"
54,"Dicranum","Dicranum scoparium",0,"Bryophytes"
