"plotCode","focalOrBenchmark","landCover","vegClass","species","cover"
"BB_A2","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Agrostis scabra",0.4
"BB_A2","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Anaphalis margaritacea",0.05
"BB_A2","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Calamagrostis canadensis",0.02
"BB_A2","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Euthamia graminifolia",0.4
"BB_A2","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Lentodon autumnalis",0.02
"BB_A2","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Rumex acetosella",0.02
"BB_A2","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Scirpus cyperinus",0.02
"BB_A2","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Tussilago farfara",0.02
"BB_A2","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Unidentified Grass",0.02
"BB_A2","f","BF/BS Forest, Early-Mid [Reclaimed]","BF/BS Forest, Early-Mid","Veronica officinalis",0.02
"BB_S_Oc","b","Wetland","Wetland","Abies balsamea",0.02
"BB_S_Oc","b","Wetland","Wetland","Alnus rugosa",0.55
"BB_S_Oc","b","Wetland","Wetland","Amelanchier sp.",0.02
"BB_S_Oc","b","Wetland","Wetland","Betula papyrifera",0.02
"BB_S_Oc","b","Wetland","Wetland","Cornus canadensis",0.1
"BB_S_Oc","b","Wetland","Wetland","Lycopodium annotinum",0.15
"BB_S_Oc","b","Wetland","Wetland","Picea mariana",0.05
"BB_S_Oc","b","Wetland","Wetland","Pleurozium schreberi",0.25
"BB_S_Oc","b","Wetland","Wetland","Ribes lacustre",0.02
"BB_S_Oc","b","Wetland","Wetland","Rubus pubescens",0.1
"BB_S_Oc","b","Wetland","Wetland","Solidago rugosa",0.6
"BB_S_Oc","b","Wetland","Wetland","Unidentified Grass",0.02
"BB_S_Oc","b","Wetland","Wetland","Viburnum cassinoides",0.05
"BB_S_Oc","b","Wetland","Wetland","Viburnum edule",0.02
"BB_S_Oc","b","Wetland","Wetland","Viola sp.",0.02
"BB_V8","b","Wetland","Wetland","Alnus rugosa",0.2
"BB_V8","b","Wetland","Wetland","Aster nemoralis",0.02
"BB_V8","b","Wetland","Wetland","Carex trisperma",0.1
"BB_V8","b","Wetland","Wetland","Chamaedaphne calyculata",0.02
"BB_V8","b","Wetland","Wetland","Cornus canadensis",0.05
"BB_V8","b","Wetland","Wetland","Dasiphora fruticosa",0.05
"BB_V8","b","Wetland","Wetland","Gaultheria hispidula",0.1
"BB_V8","b","Wetland","Wetland","Glyceria canadensis",0.1
"BB_V8","b","Wetland","Wetland","Kalmia angustifolia",0.05
"BB_V8","b","Wetland","Wetland","Larix laricina",0.1
"BB_V8","b","Wetland","Wetland",NA,0.02
"BB_V8","b","Wetland","Wetland","Nemopanthus mucronata",0.02
"BB_V8","b","Wetland","Wetland","Picea mariana",0.3
"BB_V8","b","Wetland","Wetland","Pleurozium schreberi",0.1
"BB_V8","b","Wetland","Wetland","Rosa nitida",0.05
