"plotCode","focalOrBenchmark","landCover","vegClass","stratum","cover"
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Bryophyte",0.009999999999999998
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Herb",0.09799999999999999
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Shrub",0.8219999999999998
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Tree",0.55
" BL2420","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Bryophyte",0.018000000000000006
" BL2420","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Herb",0.16399999999999998
" BL2420","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Shrub",0.639
" BL2420","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Tree",0.55
"BB_S_Oc","b","Wetland","Wetland","Bryophyte",0.3
"BB_S_Oc","b","Wetland","Wetland","Herb",0.89
"BB_S_Oc","b","Wetland","Wetland","Shrub",0.23
"BB_S_Oc","b","Wetland","Wetland","Tree",0.62
"BB_V8","b","Wetland","Wetland","Bryophyte",0.6
"BB_V8","b","Wetland","Wetland","Herb",0.59
"BB_V8","b","Wetland","Wetland","Shrub",0.46
"BB_V8","b","Wetland","Wetland","Tree",0.4
"BB_WL_7","b","Wetland","Wetland","Bryophyte",0.95
"BB_WL_7","b","Wetland","Wetland","Herb",0.68
"BB_WL_7","b","Wetland","Wetland","Shrub",0.59
"BB_WL1","b","Wetland","Wetland","Bryophyte",1
"BB_WL1","b","Wetland","Wetland","Herb",0.76
"BB_WL1","b","Wetland","Wetland","Shrub",0.6
"BB_WL10","b","Wetland","Wetland","Bryophyte",1
"BB_WL10","b","Wetland","Wetland","Herb",0.43
"BB_WL10","b","Wetland","Wetland","Shrub",0.44
"BBS6REV","b","Wetland","Wetland","Bryophyte",0.97
"BBS6REV","b","Wetland","Wetland","Herb",0.22
"BBS6REV","b","Wetland","Wetland","Shrub",0.69
"BBS6REV","b","Wetland","Wetland","Tree",0.45
"BBV10","b","BF/BS Forest, Mature","BF/BS Forest, Mature","Bryophyte",1
"BBV10","b","BF/BS Forest, Mature","BF/BS Forest, Mature","Herb",0.37
"BBV10","b","BF/BS Forest, Mature","BF/BS Forest, Mature","Shrub",0.35
"BBV10","b","BF/BS Forest, Mature","BF/BS Forest, Mature","Tree",0.45
"BBV2REV","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Bryophyte",1
"BBV2REV","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Herb",0.3
"BBV2REV","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Shrub",0.05
"BBV2REV","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","Tree",1
"BBWL4","b","Wetland","Wetland","Bryophyte",1
"BBWL4","b","Wetland","Wetland","Herb",0.13
"BBWL4","b","Wetland","Wetland","Shrub",0.35
"BL2313","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Bryophyte",0.011
"BL2313","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Herb",0.153
"BL2313","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Shrub",0.71
"BL2313","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Tree",0.18
"BL2401","f","BF/BS Forest, Old","BF/BS Forest, Old","Bryophyte",0.14
"BL2401","f","BF/BS Forest, Old","BF/BS Forest, Old","Herb",0.135
"BL2401","f","BF/BS Forest, Old","BF/BS Forest, Old","Shrub",0.16
"BL2401","f","BF/BS Forest, Old","BF/BS Forest, Old","Tree",0.75
"BL2402","f","Wetland","Wetland","Bryophyte",0.16399999999999998
"BL2402","f","Wetland","Wetland","Herb",0.457
"BL2402","f","Wetland","Wetland","Shrub",0.6459999999999999
"BL2404","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Bryophyte",0.042
"BL2404","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Herb",0.13699999999999998
"BL2404","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Shrub",0.051
"BL2404","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Tree",0.85
"BL2405","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Bryophyte",0.671999999999999
"BL2405","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Herb",0.631
"BL2405","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Shrub",0.192
"BL2405","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Tree",0.7
"BL2406","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Bryophyte",0.905
"BL2406","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Herb",0.6100000000000001
"BL2406","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Shrub",0.626
"BL2406","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Tree",0.2
