"plotCode","focalOrBenchmark","landCover","vegClass","stratum","cover"
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature","SubstrateBedrock","0"
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature","SubstrateOrganicMatter","0.95"
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature","SubstrateRocks","0.01"
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature","SubstrateMineralSoil","0.01"
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature","SubstrateDecWood","0.03"
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature","SubstrateWater","0"
" BL2420","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","SubstrateDecWood","0.07"
" BL2420","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","SubstrateBedrock","0"
" BL2420","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","SubstrateOrganicMatter","0.92"
" BL2420","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","SubstrateMineralSoil","0"
" BL2420","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","SubstrateRocks","0.01"
" BL2420","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","SubstrateWater","0"
"BB_S_Oc","b","Wetland","Wetland","SubstrateOrganicMatter","0.4"
"BB_S_Oc","b","Wetland","Wetland","SubstrateBedrock","0"
"BB_S_Oc","b","Wetland","Wetland","SubstrateWater","0"
"BB_S_Oc","b","Wetland","Wetland","SubstrateDecWood","0.1"
"BB_S_Oc","b","Wetland","Wetland","SubstrateRocks","0.05"
"BB_S_Oc","b","Wetland","Wetland","SubstrateMineralSoil","0.05"
"BB_V8","b","Wetland","Wetland","SubstrateDecWood","0.1"
"BB_V8","b","Wetland","Wetland","SubstrateRocks","0"
"BB_V8","b","Wetland","Wetland","SubstrateMineralSoil","0.05"
"BB_V8","b","Wetland","Wetland","SubstrateBedrock","0"
"BB_V8","b","Wetland","Wetland","SubstrateWater","0.05"
"BB_V8","b","Wetland","Wetland","SubstrateOrganicMatter","0.1"
"BB_WL_7","b","Wetland","Wetland","SubstrateBedrock","0"
"BB_WL_7","b","Wetland","Wetland","SubstrateDecWood","0"
"BB_WL_7","b","Wetland","Wetland","SubstrateRocks","0"
"BB_WL_7","b","Wetland","Wetland","SubstrateWater","0.05"
"BB_WL_7","b","Wetland","Wetland","SubstrateOrganicMatter","0"
"BB_WL_7","b","Wetland","Wetland","SubstrateMineralSoil","0"
"BB_WL1","b","Wetland","Wetland","SubstrateOrganicMatter","0"
"BB_WL1","b","Wetland","Wetland","SubstrateWater","0"
"BB_WL1","b","Wetland","Wetland","SubstrateMineralSoil","0"
"BB_WL1","b","Wetland","Wetland","SubstrateBedrock","0"
"BB_WL1","b","Wetland","Wetland","SubstrateDecWood","0"
"BB_WL1","b","Wetland","Wetland","SubstrateRocks","0"
"BB_WL10","b","Wetland","Wetland","SubstrateBedrock","0"
"BB_WL10","b","Wetland","Wetland","SubstrateMineralSoil","0"
"BB_WL10","b","Wetland","Wetland","SubstrateDecWood","0"
"BB_WL10","b","Wetland","Wetland","SubstrateRocks","0"
"BB_WL10","b","Wetland","Wetland","SubstrateWater","0"
"BB_WL10","b","Wetland","Wetland","SubstrateOrganicMatter","0"
"BBS6REV","b","Wetland","Wetland","SubstrateWater","0"
"BBS6REV","b","Wetland","Wetland","SubstrateRocks","0.05"
"BBS6REV","b","Wetland","Wetland","SubstrateMineralSoil","0"
"BBS6REV","b","Wetland","Wetland","SubstrateOrganicMatter","0"
"BBS6REV","b","Wetland","Wetland","SubstrateDecWood","0"
"BBS6REV","b","Wetland","Wetland","SubstrateBedrock","0"
"BBV10","b","BF/BS Forest, Mature","BF/BS Forest, Mature","SubstrateBedrock","0"
"BBV10","b","BF/BS Forest, Mature","BF/BS Forest, Mature","SubstrateDecWood","0.25"
"BBV10","b","BF/BS Forest, Mature","BF/BS Forest, Mature","SubstrateOrganicMatter","0"
"BBV10","b","BF/BS Forest, Mature","BF/BS Forest, Mature","SubstrateRocks","0"
"BBV10","b","BF/BS Forest, Mature","BF/BS Forest, Mature","SubstrateMineralSoil","0"
"BBV10","b","BF/BS Forest, Mature","BF/BS Forest, Mature","SubstrateWater","0"
"BBV2REV","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","SubstrateWater","0"
"BBV2REV","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid","SubstrateDecWood","0.1"
