"plotCode","focalOrBenchmark","vegClass","landCover"
"DP23-67","b","BF/BS Forest, Old","BF/BS Forest, Old"
"DP23-66","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid"
"DP23-71","b","BF/BS Forest, Mature","BF/BS Forest, Mature"
"DP23-40","b","BF/BS Forest, Old","BF/BS Forest, Old"
"BBV2REV","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid"
"TV_16","b","BF/BS Forest, Mature","BF/BS Forest, Mature"
"T_V10","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid"
"TV_15","b","BF/BS Forest, Mature","BF/BS Forest, Mature"
"T_V1","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid"
"T_V9","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid"
"BBV10","b","BF/BS Forest, Mature","BF/BS Forest, Mature"
"T_V5","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid"
"T_V6","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid"
"T_V7","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid"
"DP23-3","b","BF/BS Forest, Old","BF/BS Forest, Old"
"DP23-16","b","BF/BS Forest, Mature","BF/BS Forest, Mature"
"DP23-9","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid"
"DP23-22","b","BF/BS Forest, Old","BF/BS Forest, Old"
"DP23-20","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid"
"DP23-18","b","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid"
"DP23-68","b","BF/BS Forest, Old","BF/BS Forest, Old"
"BL2412","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"BL2313","f","BF/BS Forest, Mature","BF/BS Forest, Mature"
"BL2414","f","BF/BS Forest, Mature","BF/BS Forest, Mature"
"BL2424","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"BL2431","f","BF/BS Forest, Old","BF/BS Forest, Old"
"BL2432","f","BF/BS Forest, Old","BF/BS Forest, Old"
"BL2429","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"BL2406","f","BF/BS Forest, Early-Mid","BF/BS Forest, Early-Mid [Disturbed/Logged]"
"BL2405","f","BF/BS Forest, Mature","BF/BS Forest, Mature"
