"plotCode","focalOrBenchmark","landCover","vegClass","species","cover"
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Acer spicatum",0.001
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Alnus alnobetula subsp. crispa",0.05
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Betula papyrifera",0.05
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Calamagrostis canadensis",0.001
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Clintonia borealis",0.01
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Cornus canadensis",0.05
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Dicranum fuscescens",0.001
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Dicranum polysetum",0.001
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Gaultheria hispidula",0.03
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Kalmia angustifolia",0.2
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Linnaea borealis subsp. longiflora",0.005
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Orthilia secunda",0.001
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Picea mariana",0.55
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Pleurozium schreberi",0.001
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Prunus virginiana",0.01
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Ptilium crista-castrensis",0.001
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Rubus pubescens",0.001
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Sphagnum capillifolium",0.001
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Vaccinium caespitosum",0.001
" BL2418","f","BF/BS Forest, Mature","BF/BS Forest, Mature","Viburnum cassinoides",0.01
" BL2420","f","BF/BS Forest, Early-Mid [Disturbed/Logged]","BF/BS Forest, Early-Mid","Acer spicatum",0.001
