"plotCode","focalOrBenchmark","landCover","vegClass","stratum","cover"
"PlotOff1","f","Stratum-Off-W2-3","W2","Herbs & Subshrubs",0.22200000000000003
"PlotOff1","f","Stratum-Off-W2-3","W2","Shrubs",0.2325
"PlotOff10","f","Stratum-Off-W2-1","W2","Herbs & Subshrubs",0.22349999999999998
"PlotOff10","f","Stratum-Off-W2-1","W2","Shrubs",0.045
"PlotOff11","f","Stratum-Off-W2-1","W2","Herbs & Subshrubs",0.2895
"PlotOff11","f","Stratum-Off-W2-1","W2","Shrubs",0.0385
"PlotOff12","f","Stratum-Off-W2-1","W2","Herbs & Subshrubs",0.14650000000000005
"PlotOff12","f","Stratum-Off-W2-1","W2","Shrubs",0.11
"PlotOff13","f","Stratum-Off-W11-3","W11","Herbs & Subshrubs",0.6807499999999999
"PlotOff13","f","Stratum-Off-W11-3","W11","Shrubs",0.03
"PlotOff14","f","Stratum-Off-W11-3","W11","Herbs & Subshrubs",0.4919999999999999
"PlotOff14","f","Stratum-Off-W11-3","W11","Shrubs",0.045
"PlotOff15","f","Stratum-Off-W11-3","W11","Herbs & Subshrubs",0.35725
"PlotOff15","f","Stratum-Off-W11-3","W11","Shrubs",0.4675
"PlotOff16","f","Stratum-Off-W11-3","W11","Herbs & Subshrubs",0.34824999999999995
"PlotOff16","f","Stratum-Off-W11-3","W11","Shrubs",0.0175
"PlotOff17","f","Stratum-Off-W11-3","W11","Herbs & Subshrubs",0.48924999999999996
"PlotOff17","f","Stratum-Off-W11-3","W11","Shrubs",0.045
"PlotOff18","f","Stratum-Off-W11-3","W11","Herbs & Subshrubs",0.345
"PlotOff18","f","Stratum-Off-W11-3","W11","Shrubs",0.018000000000000002
"PlotOff19","f","Stratum-Off-W11-3","W11","Herbs & Subshrubs",0.286
"PlotOff19","f","Stratum-Off-W11-3","W11","Shrubs",0.035
"PlotOff2","f","Stratum-Off-W2-3","W2","Herbs & Subshrubs",0.17124999999999996
"PlotOff2","f","Stratum-Off-W2-3","W2","Shrubs",0.0025
"PlotOff20","f","Stratum-Off-W11-3","W11","Herbs & Subshrubs",0.22975
"PlotOff20","f","Stratum-Off-W11-3","W11","Shrubs",0.0575
"PlotOff21","f","Stratum-Off-W11-3","W11","Herbs & Subshrubs",0.24475000000000002
"PlotOff21","f","Stratum-Off-W11-3","W11","Shrubs",0.015
"PlotOff22","f","Stratum-Off-W11-3","W11","Herbs & Subshrubs",0.19399999999999998
"PlotOff22","f","Stratum-Off-W11-3","W11","Shrubs",0.0225
"PlotOff23","f","Stratum-Off-W11-3","W11","Herbs & Subshrubs",0.4590000000000001
"PlotOff23","f","Stratum-Off-W11-3","W11","Shrubs",0.03
"PlotOff24","f","Stratum-Off-W11-3","W11","Herbs & Subshrubs",0.2325
"PlotOff24","f","Stratum-Off-W11-3","W11","Shrubs",0.0155
"PlotOff25","f","Stratum-Off-W2-4","W2","Herbs & Subshrubs",0.35124999999999995
"PlotOff25","f","Stratum-Off-W2-4","W2","Shrubs",0.02
"PlotOff26","f","Stratum-Off-W2-4","W2","Herbs & Subshrubs",0.5069999999999999
"PlotOff26","f","Stratum-Off-W2-4","W2","Shrubs",0.11
"PlotOff27","f","Stratum-Off-W2-4","W2","Herbs & Subshrubs",0.3852499999999999
"PlotOff27","f","Stratum-Off-W2-4","W2","Shrubs",0.0025
"PlotOff28","f","Stratum-Off-W2-4","W2","Herbs & Subshrubs",0.095
"PlotOff28","f","Stratum-Off-W2-4","W2","Shrubs",0.005
"PlotOff29","f","Stratum-Off-W2-4","W2","Herbs & Subshrubs",0.358
"PlotOff29","f","Stratum-Off-W2-4","W2","Shrubs",0.023499999999999997
"PlotOff3","f","Stratum-Off-W2-3","W2","Herbs & Subshrubs",0.10075
"PlotOff3","f","Stratum-Off-W2-3","W2","Shrubs",0.1875
"PlotOff30","f","Stratum-Off-W2-4","W2","Herbs & Subshrubs",0.48824999999999996
"PlotOff30","f","Stratum-Off-W2-4","W2","Shrubs",0.006
"PlotOff31","f","Stratum-Off-W2-4","W2","Herbs & Subshrubs",0.14175000000000001
"PlotOff32","f","Stratum-Off-W2-4","W2","Herbs & Subshrubs",0.26125
"PlotOff32","f","Stratum-Off-W2-4","W2","Shrubs",0.0155
"PlotOff33","f","Stratum-Off-W2-4","W2","Herbs & Subshrubs",0.19049999999999997
"PlotOff33","f","Stratum-Off-W2-4","W2","Shrubs",0.015
"PlotOff34","f","Stratum-Off-W2-4","W2","Herbs & Subshrubs",0.08700000000000001
"PlotOff34","f","Stratum-Off-W2-4","W2","Shrubs",0.001
"PlotOff35","f","Stratum-Off-W2-4","W2","Herbs & Subshrubs",0.37424999999999997
"PlotOff35","f","Stratum-Off-W2-4","W2","Shrubs",0.03
"PlotOff36","f","Stratum-Off-W2-4","W2","Herbs & Subshrubs",0.37800000000000006
"PlotOff36","f","Stratum-Off-W2-4","W2","Shrubs",0.0055000000000000005
"PlotOff37","f","Stratum-Off-W11-4","W11","Herbs & Subshrubs",0.044000000000000004
"PlotOff37","f","Stratum-Off-W11-4","W11","Shrubs",0.0575
"PlotOff38","f","Stratum-Off-W11-4","W11","Herbs & Subshrubs",0.0735
"PlotOff38","f","Stratum-Off-W11-4","W11","Shrubs",0.06
"PlotOff39","f","Stratum-Off-W11-4","W11","Herbs & Subshrubs",0.1545
