"plotCode","focalOrBenchmark","landCover","vegClass","stratum","cover"
"PlotOff1","f","Stratum-Off-W2-3","W2","Herbs & Subshrubs",0.019
"PlotOff1","f","Stratum-Off-W2-3","W2","Shrubs",0
"PlotOff1","f","Stratum-Off-W2-3","W2","Trees",0
"PlotOff10","f","Stratum-Off-W2-1","W2","Herbs & Subshrubs",0.0025
"PlotOff10","f","Stratum-Off-W2-1","W2","Shrubs",0
"PlotOff10","f","Stratum-Off-W2-1","W2","Trees",0
"PlotOff11","f","Stratum-Off-W2-1","W2","Herbs & Subshrubs",0.01775
"PlotOff11","f","Stratum-Off-W2-1","W2","Shrubs",5e-4
"PlotOff11","f","Stratum-Off-W2-1","W2","Trees",0
"PlotOff12","f","Stratum-Off-W2-1","W2","Herbs & Subshrubs",0.00525
"PlotOff12","f","Stratum-Off-W2-1","W2","Shrubs",0
"PlotOff12","f","Stratum-Off-W2-1","W2","Trees",0
"PlotOff13","f","Stratum-Off-W11-3","W11","Herbs & Subshrubs",2.5e-4
"PlotOff13","f","Stratum-Off-W11-3","W11","Shrubs",0
"PlotOff14","f","Stratum-Off-W11-3","W11","Herbs & Subshrubs",0
"PlotOff14","f","Stratum-Off-W11-3","W11","Shrubs",0
"PlotOff15","f","Stratum-Off-W11-3","W11","Herbs & Subshrubs",0
"PlotOff15","f","Stratum-Off-W11-3","W11","Shrubs",0
"PlotOff15","f","Stratum-Off-W11-3","W11","Trees",0
"PlotOff16","f","Stratum-Off-W11-3","W11","Herbs & Subshrubs",0
"PlotOff16","f","Stratum-Off-W11-3","W11","Shrubs",0
"PlotOff16","f","Stratum-Off-W11-3","W11","Trees",0
"PlotOff17","f","Stratum-Off-W11-3","W11","Herbs & Subshrubs",0
"PlotOff17","f","Stratum-Off-W11-3","W11","Shrubs",0
"PlotOff17","f","Stratum-Off-W11-3","W11","Trees",0
"PlotOff18","f","Stratum-Off-W11-3","W11","Herbs & Subshrubs",0
"PlotOff18","f","Stratum-Off-W11-3","W11","Shrubs",0
"PlotOff19","f","Stratum-Off-W11-3","W11","Herbs & Subshrubs",0
"PlotOff19","f","Stratum-Off-W11-3","W11","Shrubs",0
"PlotOff19","f","Stratum-Off-W11-3","W11","Trees",0
"PlotOff2","f","Stratum-Off-W2-3","W2","Herbs & Subshrubs",0.004
"PlotOff2","f","Stratum-Off-W2-3","W2","Shrubs",0
"PlotOff2","f","Stratum-Off-W2-3","W2","Trees",0
"PlotOff20","f","Stratum-Off-W11-3","W11","Herbs & Subshrubs",0
"PlotOff20","f","Stratum-Off-W11-3","W11","Shrubs",0
"PlotOff20","f","Stratum-Off-W11-3","W11","Trees",0
"PlotOff21","f","Stratum-Off-W11-3","W11","Herbs & Subshrubs",0
"PlotOff21","f","Stratum-Off-W11-3","W11","Shrubs",0
"PlotOff22","f","Stratum-Off-W11-3","W11","Herbs & Subshrubs",0.0025
"PlotOff22","f","Stratum-Off-W11-3","W11","Shrubs",0
"PlotOff23","f","Stratum-Off-W11-3","W11","Herbs & Subshrubs",0
"PlotOff23","f","Stratum-Off-W11-3","W11","Shrubs",0
"PlotOff23","f","Stratum-Off-W11-3","W11","Trees",0
"PlotOff24","f","Stratum-Off-W11-3","W11","Herbs & Subshrubs",0
"PlotOff24","f","Stratum-Off-W11-3","W11","Shrubs",0
"PlotOff25","f","Stratum-Off-W2-4","W2","Herbs & Subshrubs",0
"PlotOff25","f","Stratum-Off-W2-4","W2","Shrubs",0
"PlotOff26","f","Stratum-Off-W2-4","W2","Herbs & Subshrubs",0
"PlotOff26","f","Stratum-Off-W2-4","W2","Shrubs",0.0025
"PlotOff27","f","Stratum-Off-W2-4","W2","Herbs & Subshrubs",2.5e-4
