"plotCode","focalOrBenchmark","vegClass","landCover"
"PlotOff58","f","W11","Stratum-Off-W11-1"
"PlotOff49","f","W11","Stratum-Off-W11-1"
"PlotOff50","f","W11","Stratum-Off-W11-1"
"PlotOff51","f","W11","Stratum-Off-W11-1"
"PlotOff52","f","W11","Stratum-Off-W11-1"
"PlotOff53","f","W11","Stratum-Off-W11-1"
"PlotOff54","f","W11","Stratum-Off-W11-1"
"PlotOff55","f","W11","Stratum-Off-W11-1"
"PlotOff56","f","W11","Stratum-Off-W11-1"
"PlotOff57","f","W11","Stratum-Off-W11-1"
"PlotOff71","f","W11","Stratum-Off-W11-2"
"PlotOff59","f","W11","Stratum-Off-W11-1"
"PlotOff60","f","W11","Stratum-Off-W11-1"
"PlotOff61","f","W11","Stratum-Off-W11-2"
"PlotOff62","f","W11","Stratum-Off-W11-2"
"PlotOff63","f","W11","Stratum-Off-W11-2"
"PlotOff64","f","W11","Stratum-Off-W11-2"
"PlotOff65","f","W11","Stratum-Off-W11-2"
"PlotOff66","f","W11","Stratum-Off-W11-2"
"PlotOff67","f","W11","Stratum-Off-W11-2"
"PlotOff68","f","W11","Stratum-Off-W11-2"
"PlotOff69","f","W11","Stratum-Off-W11-2"
"PlotOff70","f","W11","Stratum-Off-W11-2"
"PlotOff24","f","W11","Stratum-Off-W11-3"
"PlotOff72","f","W11","Stratum-Off-W11-2"
"PlotOff13","f","W11","Stratum-Off-W11-3"
"PlotOff14","f","W11","Stratum-Off-W11-3"
"PlotOff15","f","W11","Stratum-Off-W11-3"
"PlotOff16","f","W11","Stratum-Off-W11-3"
"PlotOff17","f","W11","Stratum-Off-W11-3"
"PlotOff18","f","W11","Stratum-Off-W11-3"
"PlotOff19","f","W11","Stratum-Off-W11-3"
"PlotOff20","f","W11","Stratum-Off-W11-3"
"PlotOff21","f","W11","Stratum-Off-W11-3"
"PlotOff22","f","W11","Stratum-Off-W11-3"
"PlotOff23","f","W11","Stratum-Off-W11-3"
"PlotOff37","f","W11","Stratum-Off-W11-4"
"PlotOff38","f","W11","Stratum-Off-W11-4"
"PlotOff39","f","W11","Stratum-Off-W11-4"
"PlotOff40","f","W11","Stratum-Off-W11-4"
"PlotOff41","f","W11","Stratum-Off-W11-4"
"PlotOff42","f","W11","Stratum-Off-W11-4"
"PlotOff43","f","W11","Stratum-Off-W11-4"
"PlotOff44","f","W11","Stratum-Off-W11-4"
"PlotOff45","f","W11","Stratum-Off-W11-4"
"PlotOff46","f","W11","Stratum-Off-W11-4"
"PlotOff47","f","W11","Stratum-Off-W11-4"
"PlotOff48","f","W11","Stratum-Off-W11-4"
"PlotOff5","f","W2","Stratum-Off-W2-1"
"PlotOff6","f","W2","Stratum-Off-W2-1"
"PlotOff7","f","W2","Stratum-Off-W2-1"
"PlotOff8","f","W2","Stratum-Off-W2-1"
"PlotOff9","f","W2","Stratum-Off-W2-1"
"PlotOff10","f","W2","Stratum-Off-W2-1"
"PlotOff11","f","W2","Stratum-Off-W2-1"
"PlotOff12","f","W2","Stratum-Off-W2-1"
"PlotOff1","f","W2","Stratum-Off-W2-3"
"PlotOff2","f","W2","Stratum-Off-W2-3"
"PlotOff3","f","W2","Stratum-Off-W2-3"
"PlotOff4","f","W2","Stratum-Off-W2-3"
"PlotOff28","f","W2","Stratum-Off-W2-4"
"PlotOff29","f","W2","Stratum-Off-W2-4"
"PlotOff30","f","W2","Stratum-Off-W2-4"
"PlotOff31","f","W2","Stratum-Off-W2-4"
"PlotOff32","f","W2","Stratum-Off-W2-4"
"PlotOff33","f","W2","Stratum-Off-W2-4"
"PlotOff34","f","W2","Stratum-Off-W2-4"
"PlotOff35","f","W2","Stratum-Off-W2-4"
"PlotOff36","f","W2","Stratum-Off-W2-4"
"PlotOff25","f","W2","Stratum-Off-W2-4"
"PlotOff26","f","W2","Stratum-Off-W2-4"
"PlotOff27","f","W2","Stratum-Off-W2-4"
"PlotBm109","b","W11","W11"
"PlotBm110","b","W11","W11"
"PlotBm112","b","W11","W11"
"PlotBm111","b","W11","W11"
"PlotBm115","b","W11","W11"
"PlotBm117","b","W11","W11"
"PlotBm118","b","W11","W11"
"PlotBm119","b","W11","W11"
"PlotBm113","b","W11","W11"
"PlotBm114","b","W11","W11"
"PlotBm116","b","W11","W11"
"PlotBm120","b","W11","W11"
"PlotBm16","b","W2","W2"
"PlotBm17","b","W2","W2"
"PlotBm20","b","W2","W2"
"PlotBm21","b","W2","W2"
"PlotBm22","b","W2","W2"
"PlotBm23","b","W2","W2"
"PlotBm24","b","W2","W2"
"PlotBm14","b","W2","W2"
"PlotBm15","b","W2","W2"
"PlotBm18","b","W2","W2"
"PlotBm19","b","W2","W2"
"PlotBm13","b","W2","W2"
