"genus","species","is_exotic"
"Acer","Acer campestre",0
"Acer","Acer monspessulanum",0
"Acer","Acer pseudoplatanus",0
"Achillea","Achillea clypeolata",0
"Achillea","Achillea coarctata",0
"Achillea","Achillea millefolium",0
"Achillea","Achillea nobilis",0
"Achillea","Achillea setacea",0
"Achillea","Achillea sp.",0
"Achnatherum","Achnatherum bromoides",0
"Acinos","Acinos alpinus",0
"Acinos","Acinos arvensis",0
"Acinos","Acinos suaveolens",0
"Adonis","Adonis annua",0
"Adonis","Adonis flammea",0
"Aegilops","Aegilops biuncialis",0
"Aegilops","Aegilops geniculata",0
"Aegilops","Aegilops neglecta",0
"Aegilops","Aegilops triuncialis",0
"Aegonychon","Aegonychon purpurocaeruleum",0
"Agrimonia","Agrimonia procera",0
"Agropyron","Agropyron cristatum",0
"Agrostemma","Agrostemma githago",0
"Agrostis","Agrostis canina",0
"Agrostis","Agrostis capillaris",0
"Agrostis","Agrostis castellana",0
"Agrostis","Agrostis stolonifera",0
"Aira","Aira elegans",0
"Aira","Aira elegantissima",0
"Ajuga","Ajuga chamaepitys",0
"Ajuga","Ajuga chamaepitys subsp. chia",0
"Ajuga","Ajuga genevensis",0
"Ajuga","Ajuga reptans",0
"Alkanna","Alkanna pindicola",0
"Alkanna","Alkanna tinctoria",0
"Allium","Allium flavum subsp. tauricum",0
"Allium","Allium paniculatum",0
"Allium","Allium sp.",0
"Allium","Allium sp. 1",0
"Allium","Allium sp. 2",0
"Allium","Allium sp. 3",0
"Alopecurus","Alopecurus pratensis",0
"Althaea","Althaea cannabina",0
"Alyssum","Alyssum alyssoides",0
"Alyssum","Alyssum simplex",0
"Alyssum","Alyssum sp.",0
"Anacamptis","Anacamptis morio",0
"Anacamptis","Anacamptis papilionacea",0
"Anacamptis","Anacamptis pyramidalis",0
"Anagallis","Anagallis arvensis",0
"Anchusa","Anchusa officinalis",0
"Anchusa","Anchusa sp.",0
"Anemone","Anemone pavonina",0
"Anethum","Anethum graveolens",0
"Anisantha","Anisantha sterilis",0
"Anthemis","Anthemis arvensis",0
"Anthemis","Anthemis chia",0
"Anthemis","Anthemis cotula",0
"Anthemis","Anthemis tinctoria subsp. tinctoria",0
"Anthemis","Anthemis triuncialis",0
"Anthoxanthum","Anthoxanthum odoratum",0
"Anthoxatum","Anthoxatum odoratum",0
"Anthriscus","Anthriscus caucalis",0
"Anthriscus","Anthriscus cerefolium",0
"Anthyllis","Anthyllis hermanniae",0
"Anthyllis","Anthyllis vulneraria",0
"Arabidopsis","Arabidopsis thaliana",0
"Arabis","Arabis turrita",0
"Arbutus","Arbutus andrachne",0
"Arbutus","Arbutus unedo",0
"Arceuthobium","Arceuthobium oxycedri",0
