"plotCode","focalOrBenchmark","landCover","vegClass","species","cover"
"PlotOff1","f","Stratum-Off-W2-3","W2","Acinos alpinus",0.06125
"PlotOff1","f","Stratum-Off-W2-3","W2","Ajuga chamaepitys subsp. chia",0.00125
"PlotOff1","f","Stratum-Off-W2-3","W2","Alkanna tinctoria",0.015
"PlotOff1","f","Stratum-Off-W2-3","W2","Anagallis arvensis",7.500000000000001e-4
"PlotOff1","f","Stratum-Off-W2-3","W2","Avena barbata",2.5e-4
"PlotOff1","f","Stratum-Off-W2-3","W2","Chrysopogon gryllus",0.19
"PlotOff1","f","Stratum-Off-W2-3","W2","Cistus incanus",2.5e-4
"PlotOff1","f","Stratum-Off-W2-3","W2","Crepis neglecta",2.5e-4
"PlotOff1","f","Stratum-Off-W2-3","W2","Crupina vulgaris",0.00125
"PlotOff1","f","Stratum-Off-W2-3","W2","Daucus carota",0.00775
"PlotOff1","f","Stratum-Off-W2-3","W2","Fumana thymifolia",0.02875
"PlotOff1","f","Stratum-Off-W2-3","W2","Hypericum olympicum",0.00125
"PlotOff1","f","Stratum-Off-W2-3","W2","Lathyrus cicera",2.5e-4
"PlotOff1","f","Stratum-Off-W2-3","W2","Medicago minima",0.02275
"PlotOff1","f","Stratum-Off-W2-3","W2","Medicago rigidula",2.5e-4
"PlotOff1","f","Stratum-Off-W2-3","W2","Melica ciliata",2.5e-4
"PlotOff1","f","Stratum-Off-W2-3","W2","Ononis viscosa",0.009000000000000001
"PlotOff1","f","Stratum-Off-W2-3","W2","Pinus nigra",0.0425
"PlotOff1","f","Stratum-Off-W2-3","W2","Solanum elaeagnifolium",0.01125
"PlotOff1","f","Stratum-Off-W2-3","W2","Stachys germanica",0.00125
"PlotOff1","f","Stratum-Off-W2-3","W2","Teucrium chamaedrys",0.02875
"PlotOff1","f","Stratum-Off-W2-3","W2","Trifolium angustifolium",0.0015
"PlotOff1","f","Stratum-Off-W2-3","W2","Trifolium campestre",0.01625
"PlotOff1","f","Stratum-Off-W2-3","W2","Trifolium scabrum",0.0025
"PlotOff10","f","Stratum-Off-W2-1","W2","Aegilops geniculata",0.015
"PlotOff10","f","Stratum-Off-W2-1","W2","Aira elegans",2.5e-4
"PlotOff10","f","Stratum-Off-W2-1","W2","Asphodelus ramosus",0.00775
"PlotOff10","f","Stratum-Off-W2-1","W2","Brachypodium distachyon",0.0225
"PlotOff10","f","Stratum-Off-W2-1","W2","Briza maxima",0.00875
"PlotOff10","f","Stratum-Off-W2-1","W2","Chrysopogon gryllus",0.045
"PlotOff10","f","Stratum-Off-W2-1","W2","Cistus incanus",0.094
"PlotOff10","f","Stratum-Off-W2-1","W2","Crupina vulgaris",0.0015
"PlotOff10","f","Stratum-Off-W2-1","W2","Cupressus sempervirens",0.03
"PlotOff10","f","Stratum-Off-W2-1","W2","Dactylis glomerata",0.015
"PlotOff10","f","Stratum-Off-W2-1","W2","Dasypyrum villosum",2.5e-4
"PlotOff10","f","Stratum-Off-W2-1","W2","Festuca valesiaca",0.00125
"PlotOff10","f","Stratum-Off-W2-1","W2","Hypericum perforatum",0.0025
"PlotOff10","f","Stratum-Off-W2-1","W2","Koeleria nitidula",0.0075
"PlotOff10","f","Stratum-Off-W2-1","W2","Linum corymbulosum",2.5e-4
"PlotOff10","f","Stratum-Off-W2-1","W2","Plantago lanceolata",0.00125
"PlotOff10","f","Stratum-Off-W2-1","W2","Potentilla inclinata",0.0025
"PlotOff10","f","Stratum-Off-W2-1","W2","Solanum elaeagnifolium",0.0025
"PlotOff10","f","Stratum-Off-W2-1","W2","Teucrium chamaedrys",0.0025
"PlotOff10","f","Stratum-Off-W2-1","W2","Trifolium campestre",0.03025
"PlotOff10","f","Stratum-Off-W2-1","W2","Vulpia ciliata",5e-4
"PlotOff11","f","Stratum-Off-W2-1","W2","Aira elegans",0.00125
"PlotOff11","f","Stratum-Off-W2-1","W2","Anagallis arvensis",0.0017499999999999998
"PlotOff11","f","Stratum-Off-W2-1","W2","Asphodelus ramosus",0.03
"PlotOff11","f","Stratum-Off-W2-1","W2","Avena barbata",0.0025
"PlotOff11","f","Stratum-Off-W2-1","W2","Brachypodium distachyon",0.05
"PlotOff11","f","Stratum-Off-W2-1","W2","Chrysopogon gryllus",0.04625
"PlotOff11","f","Stratum-Off-W2-1","W2","Crepis neglecta",0.0015
"PlotOff11","f","Stratum-Off-W2-1","W2","Cynosurus echinatus",0.00125
"PlotOff11","f","Stratum-Off-W2-1","W2","Dactylis glomerata",0.015
"PlotOff11","f","Stratum-Off-W2-1","W2","Dasypyrum villosum",0.03
"PlotOff11","f","Stratum-Off-W2-1","W2","Daucus carota",0.01525
"PlotOff11","f","Stratum-Off-W2-1","W2","Hypericum perforatum",2.5e-4
"PlotOff11","f","Stratum-Off-W2-1","W2","Paliurus spina-christi",0.0075
"PlotOff11","f","Stratum-Off-W2-1","W2","Papaver rhoeas",2.5e-4
"PlotOff11","f","Stratum-Off-W2-1","W2","Pinus nigra",0.03
"PlotOff11","f","Stratum-Off-W2-1","W2","Prunella laciniata",2.5e-4
"PlotOff11","f","Stratum-Off-W2-1","W2","Pyrus spinosa",0.0075
"PlotOff11","f","Stratum-Off-W2-1","W2","Quercus coccifera",0.02125
"PlotOff11","f","Stratum-Off-W2-1","W2","Sanguisorba minor",0.0017499999999999998
"PlotOff11","f","Stratum-Off-W2-1","W2","Sherhardia arvensis",5e-4
"PlotOff11","f","Stratum-Off-W2-1","W2","Solanum elaeagnifolium",0.0025
"PlotOff11","f","Stratum-Off-W2-1","W2","Sonchus asper",2.5e-4
"PlotOff11","f","Stratum-Off-W2-1","W2","Stachys germanica",5e-4
"PlotOff11","f","Stratum-Off-W2-1","W2","Teucrium polium",0.02125
"PlotOff11","f","Stratum-Off-W2-1","W2","Thymus sibthorpii",0.02125
"PlotOff11","f","Stratum-Off-W2-1","W2","Trifolium angustifolium",0.0225
"PlotOff11","f","Stratum-Off-W2-1","W2","Trifolium campestre",0.00875
"PlotOff11","f","Stratum-Off-W2-1","W2","Trifolium scabrum",0.0015
"PlotOff12","f","Stratum-Off-W2-1","W2","Aegilops geniculata",2.5e-4
"PlotOff12","f","Stratum-Off-W2-1","W2","Anagallis arvensis",2.5e-4
"PlotOff12","f","Stratum-Off-W2-1","W2","Asparagus acutifolius",0.0075
"PlotOff12","f","Stratum-Off-W2-1","W2","Asphodelus ramosus",0.0175
"PlotOff12","f","Stratum-Off-W2-1","W2","Bothriochloa ischaemum",0.09375
"PlotOff12","f","Stratum-Off-W2-1","W2","Brachypodium distachyon",0.00125
"PlotOff12","f","Stratum-Off-W2-1","W2","Bupleurum apiculatum",0.00775
"PlotOff12","f","Stratum-Off-W2-1","W2","Crepis neglecta",2.5e-4
"PlotOff12","f","Stratum-Off-W2-1","W2","Cupressus sempervirens",0.085
"PlotOff12","f","Stratum-Off-W2-1","W2","Daucus carota",0.0015
"PlotOff12","f","Stratum-Off-W2-1","W2","Hypericum perforatum",0.0017499999999999998
"PlotOff12","f","Stratum-Off-W2-1","W2","Linum corymbulosum",2.5e-4
"PlotOff12","f","Stratum-Off-W2-1","W2","Micromeria juliana",0.0075
"PlotOff12","f","Stratum-Off-W2-1","W2","Myosotis arvensis",0.0025
"PlotOff12","f","Stratum-Off-W2-1","W2","Paliurus spina-christi",5e-4
"PlotOff12","f","Stratum-Off-W2-1","W2","Petrorhagia dubia",2.5e-4
"PlotOff12","f","Stratum-Off-W2-1","W2","Pinus nigra",0.0925
"PlotOff12","f","Stratum-Off-W2-1","W2","Solanum elaeagnifolium",0.00375
"PlotOff12","f","Stratum-Off-W2-1","W2","Sonchus asper",5e-4
"PlotOff12","f","Stratum-Off-W2-1","W2","Trifolium angustifolium",0.00125
"PlotOff12","f","Stratum-Off-W2-1","W2","Trifolium arvense",2.5e-4
"PlotOff12","f","Stratum-Off-W2-1","W2","Trifolium scabrum",2.5e-4
"PlotOff12","f","Stratum-Off-W2-1","W2","Xeranthemum cylindraceum",2.5e-4
"PlotOff13","f","Stratum-Off-W11-3","W11","Achillea coarctata",0.0025
"PlotOff13","f","Stratum-Off-W11-3","W11","Aira elegans",5e-4
"PlotOff13","f","Stratum-Off-W11-3","W11","Anthoxanthum odoratum",0.0027500000000000003
"PlotOff13","f","Stratum-Off-W11-3","W11","Daucus carota",2.5e-4
"PlotOff13","f","Stratum-Off-W11-3","W11","Eryngium campestre",2.5e-4
"PlotOff13","f","Stratum-Off-W11-3","W11","Genista carinalis",0.4275
"PlotOff13","f","Stratum-Off-W11-3","W11","Juniperus oxycedrus",0.09375
"PlotOff13","f","Stratum-Off-W11-3","W11","Muscari neglectum",0.00125
"PlotOff13","f","Stratum-Off-W11-3","W11","Pinus nigra",0.03
"PlotOff13","f","Stratum-Off-W11-3","W11","Plantago holosteum",0.003
"PlotOff13","f","Stratum-Off-W11-3","W11","Sanguisorba minor",2.5e-4
"PlotOff13","f","Stratum-Off-W11-3","W11","Teucrium chamaedrys",0.1475
"PlotOff13","f","Stratum-Off-W11-3","W11","Vulpia ciliata",0.00125
"PlotOff14","f","Stratum-Off-W11-3","W11","Aira elegans",0.00125
"PlotOff14","f","Stratum-Off-W11-3","W11","Anthoxanthum odoratum",0.0165
"PlotOff14","f","Stratum-Off-W11-3","W11","Cichorium intybus",2.5e-4
"PlotOff14","f","Stratum-Off-W11-3","W11","Cynosurus echinatus",0.008
"PlotOff14","f","Stratum-Off-W11-3","W11","Eryngium campestre",5e-4
"PlotOff14","f","Stratum-Off-W11-3","W11","Genista carinalis",0.13625
"PlotOff14","f","Stratum-Off-W11-3","W11","Juniperus oxycedrus",0.265
"PlotOff14","f","Stratum-Off-W11-3","W11","Muscari neglectum",2.5e-4
"PlotOff14","f","Stratum-Off-W11-3","W11","Petrorhagia dubia",5e-4
"PlotOff14","f","Stratum-Off-W11-3","W11","Pinus nigra",0.03
"PlotOff14","f","Stratum-Off-W11-3","W11","Plantago holosteum",0.00875
"PlotOff14","f","Stratum-Off-W11-3","W11","Plantago lanceolata",2.5e-4
"PlotOff14","f","Stratum-Off-W11-3","W11","Poa bulbosa",0.00875
"PlotOff14","f","Stratum-Off-W11-3","W11","Sanguisorba minor",2.5e-4
"PlotOff14","f","Stratum-Off-W11-3","W11","Teucrium chamaedrys",0.00875
"PlotOff14","f","Stratum-Off-W11-3","W11","Thymus sibthorpii",0.02375
"PlotOff14","f","Stratum-Off-W11-3","W11","Trifolium arvense",0.0017499999999999998
"PlotOff14","f","Stratum-Off-W11-3","W11","Trifolium campestre",0.0025
"PlotOff14","f","Stratum-Off-W11-3","W11","Trifolium scabrum",0.00875
"PlotOff15","f","Stratum-Off-W11-3","W11","Aira elegans",0.01125
"PlotOff15","f","Stratum-Off-W11-3","W11","Anthoxanthum odoratum",0.0017499999999999998
"PlotOff15","f","Stratum-Off-W11-3","W11","Bromus squarrosus",0.0075
"PlotOff15","f","Stratum-Off-W11-3","W11","Crupina vulgaris",2.5e-4
"PlotOff15","f","Stratum-Off-W11-3","W11","Genista carinalis",0.02875
"PlotOff15","f","Stratum-Off-W11-3","W11","Jasione heldreichii",2.5e-4
"PlotOff15","f","Stratum-Off-W11-3","W11","Juniperus oxycedrus",0.4525
"PlotOff15","f","Stratum-Off-W11-3","W11","Linum corymbulosum",0.0015
"PlotOff15","f","Stratum-Off-W11-3","W11","Melica ciliata",5e-4
"PlotOff15","f","Stratum-Off-W11-3","W11","Pinus nigra",0.185
"PlotOff15","f","Stratum-Off-W11-3","W11","Plantago holosteum",0.0015
"PlotOff15","f","Stratum-Off-W11-3","W11","Poa bulbosa",0.06775
"PlotOff15","f","Stratum-Off-W11-3","W11","Pteridium aquilinum",0.00125
"PlotOff15","f","Stratum-Off-W11-3","W11","Teucrium chamaedrys",0.00375
"PlotOff15","f","Stratum-Off-W11-3","W11","Thymus sibthorpii",0.00125
"PlotOff15","f","Stratum-Off-W11-3","W11","Trifolium arvense",0.00125
"PlotOff15","f","Stratum-Off-W11-3","W11","Trifolium campestre",0.00125
"PlotOff16","f","Stratum-Off-W11-3","W11","Aira elegans",0.0030000000000000005
"PlotOff16","f","Stratum-Off-W11-3","W11","Anthoxanthum odoratum",0.00775
"PlotOff16","f","Stratum-Off-W11-3","W11","Crupina vulgaris",2.5e-4
"PlotOff16","f","Stratum-Off-W11-3","W11","Eryngium campestre",0.01
"PlotOff16","f","Stratum-Off-W11-3","W11","Juniperus oxycedrus",0.1775
"PlotOff16","f","Stratum-Off-W11-3","W11","Linum corymbulosum",2.5e-4
"PlotOff16","f","Stratum-Off-W11-3","W11","Petrorhagia dubia",0.00825
