"stem_id","plotCode","focalOrBenchmark","landCover","vegClass","subplot","ind","ind_id","stratum","species","dbh_cm","ba_m2"
1,"PlotOff10","f","Stratum-Off-W2-1","W2","2",2,"PlotOff10_2","Stems 2.5-10 cm DBH","Cupressus sempervirens",3.3,8.55298599939821e-4
2,"PlotOff11","f","Stratum-Off-W2-1","W2","1",1,"PlotOff11_1","Stems 2.5-10 cm DBH","Pinus brutia",2.9,6.60519855417254e-4
3,"PlotOff11","f","Stratum-Off-W2-1","W2","2",2,"PlotOff11_2","Stems 2.5-10 cm DBH","Pinus brutia",2.7,5.725552611167399e-4
56,"PlotOff11","f","Stratum-Off-W2-1","W2","1",1,"PlotOff11_1","Stems 2.5-10 cm DBH","Pinus brutia",3,7.068583470577034e-4
5,"PlotOff12","f","Stratum-Off-W2-1","W2","2",2,"PlotOff12_2","Stems 2.5-10 cm DBH","Cupressus sempervirens",2.5,4.908738521234052e-4
6,"PlotOff12","f","Stratum-Off-W2-1","W2","3",3,"PlotOff12_3","Stems 2.5-10 cm DBH","Cupressus sempervirens",2.8,6.157521601035993e-4
59,"PlotOff12","f","Stratum-Off-W2-1","W2","3",3,"PlotOff12_3","Stems 2.5-10 cm DBH","Cupressus sempervirens",2.9,6.60519855417254e-4
86,"PlotOff12","f","Stratum-Off-W2-1","W2","2",2,"PlotOff12_2","Stems 2.5-10 cm DBH","Cupressus sempervirens",2.7,5.725552611167399e-4
87,"PlotOff12","f","Stratum-Off-W2-1","W2","3",3,"PlotOff12_3","Stems 2.5-10 cm DBH","Cupressus sempervirens",3.7,0.0010752100856911068
57,"PlotOff12","f","Stratum-Off-W2-1","W2","1",1,"PlotOff12_1","Stems 2.5-10 cm DBH","Cupressus sempervirens",3.4,9.0792027688745e-4
58,"PlotOff12","f","Stratum-Off-W2-1","W2","2",2,"PlotOff12_2","Stems 2.5-10 cm DBH","Cupressus sempervirens",4.3,0.0014522012041218817
103,"PlotOff12","f","Stratum-Off-W2-1","W2","3",3,"PlotOff12_3","Stems 2.5-10 cm DBH","Cupressus sempervirens",2.7,5.725552611167399e-4
4,"PlotOff12","f","Stratum-Off-W2-1","W2","1",1,"PlotOff12_1","Stems 2.5-10 cm DBH","Cupressus sempervirens",4.2,0.0013854423602330987
85,"PlotOff12","f","Stratum-Off-W2-1","W2","1",1,"PlotOff12_1","Stems 2.5-10 cm DBH","Cupressus sempervirens",2.7,5.725552611167399e-4
98,"PlotOff12","f","Stratum-Off-W2-1","W2","3",3,"PlotOff12_3","Stems 2.5-10 cm DBH","Cupressus sempervirens",2.9,6.60519855417254e-4
7,"PlotOff13","f","Stratum-Off-W11-3","W11","3",3,"PlotOff13_3","Stems 2.5-10 cm DBH","Juniperus oxycedrus",3.5,9.621127501618741e-4
60,"PlotOff13","f","Stratum-Off-W11-3","W11","3",3,"PlotOff13_3","Stems 2.5-10 cm DBH","Juniperus oxycedrus",6.3,0.003117245310524472
8,"PlotOff14","f","Stratum-Off-W11-3","W11","3",3,"PlotOff14_3","Stems 2.5-10 cm DBH","Pinus nigra",2.9,6.60519855417254e-4
11,"PlotOff15","f","Stratum-Off-W11-3","W11","2",3,"PlotOff15_3","Stems 2.5-10 cm DBH","Sorbus domestica",2.5,4.908738521234052e-4
10,"PlotOff15","f","Stratum-Off-W11-3","W11","2",2,"PlotOff15_2","Stems 2.5-10 cm DBH","Pinus nigra",2.9,6.60519855417254e-4
9,"PlotOff15","f","Stratum-Off-W11-3","W11","1",1,"PlotOff15_1","Stems 2.5-10 cm DBH","Pinus nigra",2.8,6.157521601035993e-4
88,"PlotOff16","f","Stratum-Off-W11-3","W11","3",3,"PlotOff16_3","Stems 2.5-10 cm DBH","Juniperus oxycedrus",6.1,0.0029224665660019045
61,"PlotOff16","f","Stratum-Off-W11-3","W11","3",3,"PlotOff16_3","Stems 2.5-10 cm DBH","Juniperus oxycedrus",5.4,0.0022902210444669595
104,"PlotOff16","f","Stratum-Off-W11-3","W11","3",3,"PlotOff16_3","Stems 2.5-10 cm DBH","Juniperus oxycedrus",3.9,0.0011945906065275187
99,"PlotOff16","f","Stratum-Off-W11-3","W11","3",3,"PlotOff16_3","Stems 2.5-10 cm DBH","Juniperus oxycedrus",3,7.068583470577034e-4
12,"PlotOff16","f","Stratum-Off-W11-3","W11","3",3,"PlotOff16_3","Stems 2.5-10 cm DBH","Juniperus oxycedrus",3.7,0.0010752100856911068
63,"PlotOff17","f","Stratum-Off-W11-3","W11","3",3,"PlotOff17_3","Stems 2.5-10 cm DBH","Quercus petrea",7.6,0.004536459791783661
62,"PlotOff17","f","Stratum-Off-W11-3","W11","1",1,"PlotOff17_1","Stems 2.5-10 cm DBH","Quercus petrea",4.5,0.0015904312808798326
