"plotCode","focalOrBenchmark","landCover","vegClass","stratum","cover"
"Plot1","f","Stratum-U4-1","U4","Herbs & Subshrubs",0.20667613636363635
"Plot10","f","Stratum-U4-1","U4","Herbs & Subshrubs",0.53125
"Plot100","f","Stratum-W11-2","W11","Herbs & Subshrubs",0.2839488636363636
"Plot101","f","Stratum-W11-2","W11","Herbs & Subshrubs",0.20696022727272725
"Plot101","f","Stratum-W11-2","W11","Shrubs",0.011363636363636364
"Plot102","f","Stratum-W11-2","W11","Herbs & Subshrubs",0.23522727272727273
"Plot102","f","Stratum-W11-2","W11","Shrubs",0.011363636363636364
"Plot103","f","Stratum-W11-2","W11","Herbs & Subshrubs",0.12215909090909091
"Plot103","f","Stratum-W11-2","W11","Shrubs",0.024147727272727272
"Plot104","f","Stratum-W11-2","W11","Herbs & Subshrubs",0.06988636363636364
"Plot104","f","Stratum-W11-2","W11","Shrubs",0.10653409090909091
"Plot105","f","Stratum-W11-2","W11","Herbs & Subshrubs",0.05340909090909091
"Plot105","f","Stratum-W11-2","W11","Shrubs",0.008522727272727272
"Plot106","f","Stratum-W11-2","W11","Herbs & Subshrubs",0.026988636363636364
"Plot107","f","Stratum-W11-2","W11","Herbs & Subshrubs",0.2125
"Plot107","f","Stratum-W11-2","W11","Shrubs",0.005681818181818182
"Plot108","f","Stratum-W11-2","W11","Herbs & Subshrubs",0.0953125
"Plot108","f","Stratum-W11-2","W11","Shrubs",0.011363636363636364
"Plot11","f","Stratum-U4-1","U4","Herbs & Subshrubs",0.22585227272727273
"Plot12","f","Stratum-U4-1","U4","Herbs & Subshrubs",0.5383522727272727
"Plot121","f","Stratum-W10-1","W10","Herbs & Subshrubs",0.3181818181818182
"Plot121","f","Stratum-W10-1","W10","Shrubs",0.15198863636363635
"Plot122","f","Stratum-W10-1","W10","Herbs & Subshrubs",0.2869318181818182
"Plot122","f","Stratum-W10-1","W10","Shrubs",0.296875
"Plot123","f","Stratum-W10-1","W10","Herbs & Subshrubs",0.171875
"Plot123","f","Stratum-W10-1","W10","Shrubs",0.15482954545454544
"Plot124","f","Stratum-W10-1","W10","Herbs & Subshrubs",0.19545454545454544
"Plot125","f","Stratum-W10-1","W10","Herbs & Subshrubs",0.34375
"Plot125","f","Stratum-W10-1","W10","Shrubs",0.024147727272727272
"Plot126","f","Stratum-W10-1","W10","Herbs & Subshrubs",0.3039772727272727
"Plot126","f","Stratum-W10-1","W10","Shrubs",0.052556818181818184
"Plot127","f","Stratum-W10-1","W10","Herbs & Subshrubs",0.2046875
"Plot127","f","Stratum-W10-1","W10","Shrubs",0.10653409090909091
"Plot128","f","Stratum-W10-1","W10","Herbs & Subshrubs",0.3873579545454545
"Plot128","f","Stratum-W10-1","W10","Shrubs",0.10653409090909091
"Plot129","f","Stratum-W10-1","W10","Herbs & Subshrubs",0.25426136363636365
"Plot129","f","Stratum-W10-1","W10","Shrubs",0.11221590909090909
"Plot130","f","Stratum-W10-1","W10","Herbs & Subshrubs",0.3850852272727273
"Plot130","f","Stratum-W10-1","W10","Shrubs",0.11789772727272728
"Plot131","f","Stratum-W10-1","W10","Herbs & Subshrubs",0.40482954545454547
"Plot131","f","Stratum-W10-1","W10","Shrubs",0.022727272727272728
"Plot132","f","Stratum-W10-1","W10","Herbs & Subshrubs",0.48792613636363635
"Plot132","f","Stratum-W10-1","W10","Shrubs",0.048295454545454544
"Plot145","f","Stratum-W17-1","W17","Herbs & Subshrubs",0.3430397727272727
"Plot146","f","Stratum-W17-1","W17","Herbs & Subshrubs",0.171875
"Plot147","f","Stratum-W17-1","W17","Herbs & Subshrubs",0.6860795454545454
"Plot148","f","Stratum-W17-1","W17","Herbs & Subshrubs",0.4580965909090909
"Plot149","f","Stratum-W17-1","W17","Herbs & Subshrubs",0.6565340909090909
"Plot150","f","Stratum-W17-1","W17","Herbs & Subshrubs",0.1455965909090909
"Plot150","f","Stratum-W17-1","W17","Shrubs",0.10653409090909091
"Plot151","f","Stratum-W17-1","W17","Herbs & Subshrubs",0.7776988636363636
"Plot152","f","Stratum-W17-1","W17","Herbs & Subshrubs",0.5589488636363636
"Plot153","f","Stratum-W17-1","W17","Herbs & Subshrubs",0.03480113636363636
"Plot154","f","Stratum-W17-1","W17","Herbs & Subshrubs",0.5852272727272727
"Plot155","f","Stratum-W17-1","W17","Herbs & Subshrubs",0.11505681818181818
"Plot156","f","Stratum-W17-1","W17","Herbs & Subshrubs",0.08806818181818182
"Plot169","f","Stratum-W21-1","W21","Herbs & Subshrubs",0.18053977272727273
"Plot169","f","Stratum-W21-1","W21","Shrubs",0.11221590909090909
"Plot170","f","Stratum-W21-1","W21","Herbs & Subshrubs",0.24375
"Plot170","f","Stratum-W21-1","W21","Shrubs",0.18607954545454544
"Plot171","f","Stratum-W21-1","W21","Herbs & Subshrubs",0.15085227272727272
"Plot171","f","Stratum-W21-1","W21","Shrubs",0.011363636363636364
"Plot172","f","Stratum-W21-1","W21","Herbs & Subshrubs",0.22585227272727273
"Plot172","f","Stratum-W21-1","W21","Shrubs",0.0014204545454545455
"Plot173","f","Stratum-W21-1","W21","Herbs & Subshrubs",0.22301136363636365
"Plot173","f","Stratum-W21-1","W21","Shrubs",0.20454545454545456
"Plot174","f","Stratum-W21-1","W21","Herbs & Subshrubs",0.23366477272727273
"Plot174","f","Stratum-W21-1","W21","Shrubs",0.4303977272727273
"Plot175","f","Stratum-W21-1","W21","Herbs & Subshrubs",0.515625
"Plot175","f","Stratum-W21-1","W21","Shrubs",0.06534090909090909
"Plot176","f","Stratum-W21-1","W21","Herbs & Subshrubs",0.3673295454545455
"Plot177","f","Stratum-W21-1","W21","Herbs & Subshrubs",0.22045454545454543
"Plot177","f","Stratum-W21-1","W21","Shrubs",0.13920454545454544
"Plot178","f","Stratum-W21-1","W21","Herbs & Subshrubs",0.1471590909090909
"Plot178","f","Stratum-W21-1","W21","Shrubs",0.2002840909090909
"Plot179","f","Stratum-W21-1","W21","Herbs & Subshrubs",0.2440340909090909
"Plot179","f","Stratum-W21-1","W21","Shrubs",0.005681818181818182
"Plot180","f","Stratum-W21-1","W21","Herbs & Subshrubs",0.18835227272727273
"Plot180","f","Stratum-W21-1","W21","Shrubs",0.1690340909090909
"Plot193","f","Stratum-W2-1","W2","Herbs & Subshrubs",0.3098011363636364
"Plot193","f","Stratum-W2-1","W2","Shrubs",0.10653409090909091
"Plot194","f","Stratum-W2-1","W2","Herbs & Subshrubs",0.3835227272727273
"Plot195","f","Stratum-W2-1","W2","Herbs & Subshrubs",0.4663352272727272
"Plot195","f","Stratum-W2-1","W2","Shrubs",0.1590909090909091
"Plot196","f","Stratum-W2-1","W2","Herbs & Subshrubs",0.4112215909090909
"Plot196","f","Stratum-W2-1","W2","Shrubs",0.1590909090909091
"Plot197","f","Stratum-W2-1","W2","Herbs & Subshrubs",0.34517045454545453
"Plot197","f","Stratum-W2-1","W2","Shrubs",0.21306818181818182
"Plot198","f","Stratum-W2-1","W2","Herbs & Subshrubs",0.5
"Plot198","f","Stratum-W2-1","W2","Shrubs",0.05823863636363636
"Plot199","f","Stratum-W2-1","W2","Herbs & Subshrubs",0.4090909090909091
"Plot2","f","Stratum-U4-1","U4","Herbs & Subshrubs",0.5076704545454546
"Plot200","f","Stratum-W2-1","W2","Herbs & Subshrubs",0.47457386363636367
"Plot200","f","Stratum-W2-1","W2","Shrubs",0.011363636363636364
"Plot201","f","Stratum-W2-1","W2","Herbs & Subshrubs",0.46875
"Plot201","f","Stratum-W2-1","W2","Shrubs",0.16051136363636365
"Plot202","f","Stratum-W2-1","W2","Herbs & Subshrubs",0.49019886363636367
"Plot202","f","Stratum-W2-1","W2","Shrubs",0.024147727272727272
"Plot203","f","Stratum-W2-1","W2","Herbs & Subshrubs",0.5589488636363636
