"plotCode","focalOrBenchmark","landCover","vegClass","stratum","cover"
"Plot1","f","Stratum-U4-1","U4","Herbs & Subshrubs",0
"Plot10","f","Stratum-U4-1","U4","Herbs & Subshrubs",0.025
"Plot100","f","Stratum-W11-2","W11","Herbs & Subshrubs",0
"Plot100","f","Stratum-W11-2","W11","Trees",0.375
"Plot101","f","Stratum-W11-2","W11","Herbs & Subshrubs",0.0825
"Plot101","f","Stratum-W11-2","W11","Shrubs",0
"Plot101","f","Stratum-W11-2","W11","Trees",0
"Plot102","f","Stratum-W11-2","W11","Herbs & Subshrubs",0
"Plot102","f","Stratum-W11-2","W11","Shrubs",0
"Plot102","f","Stratum-W11-2","W11","Trees",0
"Plot103","f","Stratum-W11-2","W11","Herbs & Subshrubs",0
"Plot103","f","Stratum-W11-2","W11","Shrubs",0
"Plot103","f","Stratum-W11-2","W11","Trees",0
"Plot104","f","Stratum-W11-2","W11","Herbs & Subshrubs",0
"Plot104","f","Stratum-W11-2","W11","Shrubs",0
"Plot104","f","Stratum-W11-2","W11","Trees",0
"Plot105","f","Stratum-W11-2","W11","Herbs & Subshrubs",0.05625
"Plot105","f","Stratum-W11-2","W11","Shrubs",0
"Plot105","f","Stratum-W11-2","W11","Trees",0
"Plot106","f","Stratum-W11-2","W11","Herbs & Subshrubs",0
"Plot106","f","Stratum-W11-2","W11","Trees",0.005
"Plot107","f","Stratum-W11-2","W11","Herbs & Subshrubs",0
"Plot107","f","Stratum-W11-2","W11","Shrubs",0
"Plot107","f","Stratum-W11-2","W11","Trees",0
"Plot108","f","Stratum-W11-2","W11","Herbs & Subshrubs",0
"Plot108","f","Stratum-W11-2","W11","Shrubs",0
"Plot108","f","Stratum-W11-2","W11","Trees",0
"Plot11","f","Stratum-U4-1","U4","Herbs & Subshrubs",0.0875
"Plot12","f","Stratum-U4-1","U4","Herbs & Subshrubs",0
"Plot121","f","Stratum-W10-1","W10","Herbs & Subshrubs",0
"Plot121","f","Stratum-W10-1","W10","Shrubs",0
"Plot121","f","Stratum-W10-1","W10","Trees",0
"Plot122","f","Stratum-W10-1","W10","Herbs & Subshrubs",0.005
"Plot122","f","Stratum-W10-1","W10","Shrubs",0
"Plot122","f","Stratum-W10-1","W10","Trees",0
"Plot123","f","Stratum-W10-1","W10","Herbs & Subshrubs",0
"Plot123","f","Stratum-W10-1","W10","Shrubs",0
"Plot123","f","Stratum-W10-1","W10","Trees",0
"Plot124","f","Stratum-W10-1","W10","Herbs & Subshrubs",0
"Plot124","f","Stratum-W10-1","W10","Trees",0
"Plot125","f","Stratum-W10-1","W10","Herbs & Subshrubs",0
"Plot125","f","Stratum-W10-1","W10","Shrubs",0
"Plot125","f","Stratum-W10-1","W10","Trees",0
"Plot126","f","Stratum-W10-1","W10","Herbs & Subshrubs",0
"Plot126","f","Stratum-W10-1","W10","Shrubs",0
"Plot126","f","Stratum-W10-1","W10","Trees",0
