"landCover","lc.type","vegClass","area_ha","focal_plots","bm_plots","all.n.OK"
"Stratum-M24-1","Mesic grassland","M24",22.4,12,12,TRUE
"Stratum-U16-1","Tall-herb meadow","U16",159.2,12,12,TRUE
"Stratum-U16-2","Tall-herb meadow","U16",78.4,12,12,TRUE
"Stratum-U17-1","Tall-herb meadow","U17",100.8,12,12,TRUE
"Stratum-U4-1","Grassland","U4",156.8,12,12,TRUE
"Stratum-U4-2","Grassland","U4",288.96,12,12,TRUE
"Stratum-W10-1","Forest","W10",22.4,15,13,TRUE
"Stratum-W11-1","Forest","W11",41.216,12,12,TRUE
"Stratum-W11-2","Forest","W11",302.4,20,12,TRUE
"Stratum-W12-1","Forest","W12",71.68,13,12,TRUE
"Stratum-W16-1","Forest","W16",193.6,12,12,TRUE
"Stratum-W17-1","Forest","W17",121.6,12,12,TRUE
"Stratum-W18-1","Forest","W18",56.96,12,12,TRUE
"Stratum-W2-1","Flooded woodland","W2",83.2,12,12,TRUE
"Stratum-W21-1","Shrubland","W21",89.6,12,12,TRUE
