"plotCode","focalOrBenchmark","vegClass","landCover"
"PlotBm25","b","M24","M24"
"PlotBm26","b","M24","M24"
"PlotBm27","b","M24","M24"
"PlotBm28","b","M24","M24"
"PlotBm29","b","M24","M24"
"PlotBm30","b","M24","M24"
"PlotBm31","b","M24","M24"
"PlotBm32","b","M24","M24"
"PlotBm33","b","M24","M24"
"PlotBm34","b","M24","M24"
"PlotBm35","b","M24","M24"
"PlotBm36","b","M24","M24"
"Plot296","f","M24","Stratum-M24-1"
"Plot300","f","M24","Stratum-M24-1"
"Plot289","f","M24","Stratum-M24-1"
"Plot290","f","M24","Stratum-M24-1"
"Plot291","f","M24","Stratum-M24-1"
"Plot292","f","M24","Stratum-M24-1"
"Plot293","f","M24","Stratum-M24-1"
"Plot294","f","M24","Stratum-M24-1"
"Plot295","f","M24","Stratum-M24-1"
"Plot299","f","M24","Stratum-M24-1"
"Plot297","f","M24","Stratum-M24-1"
"Plot298","f","M24","Stratum-M24-1"
"Plot266","f","U16","Stratum-U16-2"
"PlotBm67","b","U16","U16"
"PlotBm68","b","U16","U16"
"PlotBm69","b","U16","U16"
"PlotBm70","b","U16","U16"
"PlotBm71","b","U16","U16"
"PlotBm72","b","U16","U16"
"PlotBm79","b","U16","U16"
"PlotBm80","b","U16","U16"
"PlotBm81","b","U16","U16"
"PlotBm82","b","U16","U16"
"PlotBm83","b","U16","U16"
"PlotBm84","b","U16","U16"
"Plot237","f","U16","Stratum-U16-1"
"Plot238","f","U16","Stratum-U16-1"
"Plot229","f","U16","Stratum-U16-1"
"Plot230","f","U16","Stratum-U16-1"
"Plot235","f","U16","Stratum-U16-1"
"Plot236","f","U16","Stratum-U16-1"
"Plot233","f","U16","Stratum-U16-1"
"Plot234","f","U16","Stratum-U16-1"
"Plot240","f","U16","Stratum-U16-1"
"Plot239","f","U16","Stratum-U16-1"
"Plot271","f","U16","Stratum-U16-2"
"Plot232","f","U16","Stratum-U16-1"
"Plot231","f","U16","Stratum-U16-1"
"Plot265","f","U16","Stratum-U16-2"
"Plot275","f","U16","Stratum-U16-2"
"Plot267","f","U16","Stratum-U16-2"
"Plot268","f","U16","Stratum-U16-2"
"Plot269","f","U16","Stratum-U16-2"
"Plot272","f","U16","Stratum-U16-2"
"Plot273","f","U16","Stratum-U16-2"
"Plot274","f","U16","Stratum-U16-2"
"Plot276","f","U16","Stratum-U16-2"
"Plot270","f","U16","Stratum-U16-2"
"Plot227","f","U17","Stratum-U17-1"
"Plot221","f","U17","Stratum-U17-1"
"Plot222","f","U17","Stratum-U17-1"
"Plot224","f","U17","Stratum-U17-1"
"PlotBm61","b","U17","U17"
"Plot226","f","U17","Stratum-U17-1"
"Plot225","f","U17","Stratum-U17-1"
"Plot220","f","U17","Stratum-U17-1"
"Plot223","f","U17","Stratum-U17-1"
"Plot217","f","U17","Stratum-U17-1"
"Plot218","f","U17","Stratum-U17-1"
"Plot219","f","U17","Stratum-U17-1"
"PlotBm75","b","U17","U17"
"PlotBm76","b","U17","U17"
"PlotBm77","b","U17","U17"
"PlotBm78","b","U17","U17"
"PlotBm63","b","U17","U17"
"PlotBm64","b","U17","U17"
"PlotBm65","b","U17","U17"
"PlotBm62","b","U17","U17"
"PlotBm73","b","U17","U17"
"PlotBm74","b","U17","U17"
"Plot228","f","U17","Stratum-U17-1"
"PlotBm66","b","U17","U17"
"PlotBm91","b","U4","U4"
"PlotBm90","b","U4","U4"
"PlotBm87","b","U4","U4"
"PlotBm88","b","U4","U4"
"PlotBm89","b","U4","U4"
"Plot10","f","U4","Stratum-U4-1"
"Plot11","f","U4","Stratum-U4-1"
"Plot28","f","U4","Stratum-U4-2"
"Plot12","f","U4","Stratum-U4-1"
"PlotBm93","b","U4","U4"
"PlotBm94","b","U4","U4"
"PlotBm95","b","U4","U4"
"PlotBm92","b","U4","U4"
"PlotBm85","b","U4","U4"
"PlotBm86","b","U4","U4"
"Plot6","f","U4","Stratum-U4-1"
"Plot7","f","U4","Stratum-U4-1"
"Plot30","f","U4","Stratum-U4-2"
"Plot25","f","U4","Stratum-U4-2"
"Plot26","f","U4","Stratum-U4-2"
"Plot27","f","U4","Stratum-U4-2"
"Plot29","f","U4","Stratum-U4-2"
"Plot35","f","U4","Stratum-U4-2"
"Plot32","f","U4","Stratum-U4-2"
"Plot33","f","U4","Stratum-U4-2"
"PlotBm96","b","U4","U4"
"Plot36","f","U4","Stratum-U4-2"
"Plot8","f","U4","Stratum-U4-1"
"Plot9","f","U4","Stratum-U4-1"
"Plot31","f","U4","Stratum-U4-2"
"Plot34","f","U4","Stratum-U4-2"
"Plot4","f","U4","Stratum-U4-1"
"Plot5","f","U4","Stratum-U4-1"
"Plot1","f","U4","Stratum-U4-1"
"Plot3","f","U4","Stratum-U4-1"
"Plot2","f","U4","Stratum-U4-1"
"PlotBm129","b","W10","W10"
"PlotBm131","b","W10","W10"
"PlotBm132","b","W10","W10"
"PlotBm133","b","W10","W10"
"PlotBm128","b","W10","W10"
"PlotBm125","b","W10","W10"
"PlotBm126","b","W10","W10"
"PlotBm130","b","W10","W10"
"Plot125","f","W10","Stratum-W10-1"
"Plot126","f","W10","Stratum-W10-1"
"Plot127","f","W10","Stratum-W10-1"
"Plot128","f","W10","Stratum-W10-1"
"PlotBm123","b","W10","W10"
"PlotBm124","b","W10","W10"
"PlotBm121","b","W10","W10"
"Plot129","f","W10","Stratum-W10-1"
"PlotBm127","b","W10","W10"
"Plot58","f","W10","Stratum-W10-1"
"Plot59","f","W10","Stratum-W10-1"
"Plot60","f","W10","Stratum-W10-1"
"Plot123","f","W10","Stratum-W10-1"
"Plot130","f","W10","Stratum-W10-1"
"Plot131","f","W10","Stratum-W10-1"
"Plot122","f","W10","Stratum-W10-1"
"PlotBm122","b","W10","W10"
"Plot121","f","W10","Stratum-W10-1"
"Plot124","f","W10","Stratum-W10-1"
"Plot132","f","W10","Stratum-W10-1"
"PlotBm109","b","W11","W11"
"Plot83","f","W11","Stratum-W11-1"
"PlotBm110","b","W11","W11"
"PlotBm112","b","W11","W11"
"Plot49","f","W11","Stratum-W11-2"
"Plot80","f","W11","Stratum-W11-1"
"PlotBm111","b","W11","W11"
"Plot106","f","W11","Stratum-W11-2"
"Plot82","f","W11","Stratum-W11-1"
"Plot97","f","W11","Stratum-W11-2"
