"plotCode","focalOrBenchmark","landCover","vegClass","species","cover"
"Plot1","f","Stratum-U4-1","U4","Alyssum simplex",0.00125
"Plot1","f","Stratum-U4-1","U4","Avena sterilis",0.00625
"Plot1","f","Stratum-U4-1","U4","Cerastium semidecandrum",0.015
"Plot1","f","Stratum-U4-1","U4","Crepis sancta",0.015
"Plot1","f","Stratum-U4-1","U4","Crepis setosa",0.01125
"Plot1","f","Stratum-U4-1","U4","Draba muralis",0.01
"Plot1","f","Stratum-U4-1","U4","Erodium absinthoides",0.00875
"Plot1","f","Stratum-U4-1","U4","Eryngium campestre",0.005
"Plot1","f","Stratum-U4-1","U4","Fumaria officinalis",0.00125
"Plot1","f","Stratum-U4-1","U4","Geranium brutium",0.0075
"Plot1","f","Stratum-U4-1","U4","Holosteum umbellatum",0.00125
"Plot1","f","Stratum-U4-1","U4","Hordeum murinum",0.03125
"Plot1","f","Stratum-U4-1","U4","Neatostema apulum",0.005
"Plot1","f","Stratum-U4-1","U4","Onobrychis aequidentata",0.015
"Plot1","f","Stratum-U4-1","U4","Ornithopus compressus",0.0025
"Plot1","f","Stratum-U4-1","U4","Plantago afra",0.05625
"Plot1","f","Stratum-U4-1","U4","Poa bulbosa",0.02625
"Plot1","f","Stratum-U4-1","U4","Saxifraga carpetana subsp. graeca",0.01
"Plot1","f","Stratum-U4-1","U4","Scandix australis",0.005
"Plot1","f","Stratum-U4-1","U4","Sedum sp.",0.005
"Plot1","f","Stratum-U4-1","U4","Sherardia arvensis",0.0275
"Plot1","f","Stratum-U4-1","U4","Sisymbrium officinale",0.005
"Plot1","f","Stratum-U4-1","U4","Teesdalia coronopifolia",0.0275
"Plot1","f","Stratum-U4-1","U4","Trifolium arvense",0.00125
"Plot1","f","Stratum-U4-1","U4","Verbascum sp.1",0.02125
"Plot1","f","Stratum-U4-1","U4","Veronica verna",0.0275
"Plot1","f","Stratum-U4-1","U4","Viola sp.",0.015
"Plot10","f","Stratum-U4-1","U4","Aegilops geniculata",0.2075
"Plot10","f","Stratum-U4-1","U4","Anisantha sterilis",0.0525
"Plot10","f","Stratum-U4-1","U4","Centaurea solstitialis",0.01125
"Plot10","f","Stratum-U4-1","U4","Cichorium intybus",0.09375
"Plot10","f","Stratum-U4-1","U4","Daucus carota",0.005
"Plot10","f","Stratum-U4-1","U4","Galium verum",0.015
"Plot10","f","Stratum-U4-1","U4","Hieracium pilosus",0.5
"Plot10","f","Stratum-U4-1","U4","Medicago sativa",0.02
"Plot10","f","Stratum-U4-1","U4","Pyrus spinosa",0.01
"Plot10","f","Stratum-U4-1","U4","Trifolium angustifolium",0.01
"Plot10","f","Stratum-U4-1","U4","Trifolium pratense",0.01
"Plot100","f","Stratum-W11-2","W11","Anisantha sterilis",0.0225
"Plot100","f","Stratum-W11-2","W11","Galium mollugo group",0.005
"Plot100","f","Stratum-W11-2","W11","Hypericum perforatum",0.4375
"Plot100","f","Stratum-W11-2","W11","Lactuca muralis",0.0015
"Plot100","f","Stratum-W11-2","W11","Quercus cerris",0.0015
"Plot100","f","Stratum-W11-2","W11","Robinia pseudoacacia",0.375
"Plot100","f","Stratum-W11-2","W11","Rubus idaeus",0.01
"Plot100","f","Stratum-W11-2","W11","Rumex sp.",5e-4
"Plot100","f","Stratum-W11-2","W11","Torilis arvensis",0.02125
"Plot101","f","Stratum-W11-2","W11","Cistus creticus",0.01
"Plot101","f","Stratum-W11-2","W11","Dactylis glomerata",0.01
"Plot101","f","Stratum-W11-2","W11","Fraxinus ornus",0.02
"Plot101","f","Stratum-W11-2","W11","Galium mollugo group",0.00375
"Plot101","f","Stratum-W11-2","W11","Lathyrus laxiflorus",2.5e-4
"Plot101","f","Stratum-W11-2","W11","Medicago sativa",0.0825
"Plot101","f","Stratum-W11-2","W11","Pinus nigra",0.375
"Plot101","f","Stratum-W11-2","W11","Plantago lanceolata",0.01
"Plot101","f","Stratum-W11-2","W11","Poa nemoralis",0.09375
"Plot101","f","Stratum-W11-2","W11","Quercus cerris",0.085
"Plot101","f","Stratum-W11-2","W11","Quercus frainetto",0.02125
"Plot101","f","Stratum-W11-2","W11","Rosa canina",2.5e-4
"Plot101","f","Stratum-W11-2","W11","Rubus idaeus",0.07875
"Plot101","f","Stratum-W11-2","W11","Stachys germanica",0.00125
"Plot101","f","Stratum-W11-2","W11","Teucrium chamaedrys",0.01
"Plot101","f","Stratum-W11-2","W11","Trifolium angustifolium",0.00125
"Plot101","f","Stratum-W11-2","W11","Trifolium pratense",0.01
"Plot102","f","Stratum-W11-2","W11","Agrostis castellana",0.09375
"Plot102","f","Stratum-W11-2","W11","Anacamptis pyramidalis",0.00125
"Plot102","f","Stratum-W11-2","W11","Cistus creticus",0.01
"Plot102","f","Stratum-W11-2","W11","Cynosurus echinatus",0.01
"Plot102","f","Stratum-W11-2","W11","Dactylis glomerata",0.015
"Plot102","f","Stratum-W11-2","W11","Eryngium campestre",2.5e-4
"Plot102","f","Stratum-W11-2","W11","Fraxinus ornus",0.085
"Plot102","f","Stratum-W11-2","W11","Galium mollugo group",0.00125
"Plot102","f","Stratum-W11-2","W11","Hypericum perforatum",0.00125
"Plot102","f","Stratum-W11-2","W11","Phleum pratense",0.01125
"Plot102","f","Stratum-W11-2","W11","Pyrus spinosa",0.375
"Plot102","f","Stratum-W11-2","W11","Quercus cerris",0.375
"Plot102","f","Stratum-W11-2","W11","Quercus petraea",0.085
"Plot102","f","Stratum-W11-2","W11","Quercus trojana",0.04
"Plot102","f","Stratum-W11-2","W11","Silene italica",0.09625
"Plot102","f","Stratum-W11-2","W11","Teucrium chamaedrys",0.0525
"Plot102","f","Stratum-W11-2","W11","Torilis arvensis",0.00125
"Plot102","f","Stratum-W11-2","W11","Trifolium angustifolium",0.005
"Plot102","f","Stratum-W11-2","W11","Viola alba",0.00125
"Plot103","f","Stratum-W11-2","W11","Dactylis glomerata",0.00625
"Plot103","f","Stratum-W11-2","W11","Medicago minima",0.02125
"Plot103","f","Stratum-W11-2","W11","Poa nemoralis",0.0275
"Plot103","f","Stratum-W11-2","W11","Quercus cerris",0.375
"Plot103","f","Stratum-W11-2","W11","Quercus frainetto",0.0425
"Plot103","f","Stratum-W11-2","W11","Quercus petraea",0.085
"Plot103","f","Stratum-W11-2","W11","Rubus idaeus",0.0325
"Plot103","f","Stratum-W11-2","W11","Silene italica",0.02125
"Plot103","f","Stratum-W11-2","W11","Teucrium chamaedrys",0.00625
"Plot103","f","Stratum-W11-2","W11","Trifolium pratense",0.02125
"Plot104","f","Stratum-W11-2","W11","Carpinus orientalis",0.00125
"Plot104","f","Stratum-W11-2","W11","Cyclamen hederifolium",0.00125
"Plot104","f","Stratum-W11-2","W11","Fragaria vesca",0.0075
"Plot104","f","Stratum-W11-2","W11","Galium mollugo group",0.02125
"Plot104","f","Stratum-W11-2","W11","Hippocrepis emerus",0.0125
"Plot104","f","Stratum-W11-2","W11","Lathyrus laxiflorus",0.0225
"Plot104","f","Stratum-W11-2","W11","Pimpinella saxifraga",0.00125
"Plot104","f","Stratum-W11-2","W11","Ptilostemon strictus",0.00125
"Plot104","f","Stratum-W11-2","W11","Quercus frainetto",0.8125
"Plot104","f","Stratum-W11-2","W11","Quercus petraea",0.1875
"Plot104","f","Stratum-W11-2","W11","Tilia tomentosa",0.00125
"Plot104","f","Stratum-W11-2","W11","Trifolium arvense",2.5e-4
"Plot104","f","Stratum-W11-2","W11","Verbascum sp.",0.0015
"Plot105","f","Stratum-W11-2","W11","Acer campestre",0.00125
"Plot105","f","Stratum-W11-2","W11","Betula pendula",0.00625
"Plot105","f","Stratum-W11-2","W11","Carpinus orientalis",0.6675
"Plot105","f","Stratum-W11-2","W11","Cornus mas",0.04
"Plot105","f","Stratum-W11-2","W11","Cyclamen hederifolium",0.00875
"Plot105","f","Stratum-W11-2","W11","Daphne laureola",0.00125
"Plot105","f","Stratum-W11-2","W11","Fagus sylvatica",0.00125
"Plot105","f","Stratum-W11-2","W11","Fragaria vesca",2.5e-4
"Plot105","f","Stratum-W11-2","W11","Fraxinus ornus",0.205
"Plot105","f","Stratum-W11-2","W11","Hedera helix",0.05625
"Plot105","f","Stratum-W11-2","W11","Hippocrepis emerus",0.00125
"Plot105","f","Stratum-W11-2","W11","Lysimachia punctata",0.00125
"Plot105","f","Stratum-W11-2","W11","Neottia nidus-avis",0.005
"Plot105","f","Stratum-W11-2","W11","Ptilostemon strictus",0.00125
"Plot105","f","Stratum-W11-2","W11","Quercus frainetto",0.04
"Plot105","f","Stratum-W11-2","W11","Quercus petraea",0.005
"Plot105","f","Stratum-W11-2","W11","Rosa canina",0.005
"Plot105","f","Stratum-W11-2","W11","Ruscus aculeatus",0.01
"Plot105","f","Stratum-W11-2","W11","Sorbus domestica",0.02
"Plot106","f","Stratum-W11-2","W11","Carpinus orientalis",0.8125
"Plot106","f","Stratum-W11-2","W11","Cornus mas",0.005
"Plot106","f","Stratum-W11-2","W11","Cyclamen hederifolium",0.00375
"Plot106","f","Stratum-W11-2","W11","Quercus frainetto",0.00125
"Plot106","f","Stratum-W11-2","W11","Quercus petraea",0.375
"Plot106","f","Stratum-W11-2","W11","Ruscus aculeatus",0.00375
"Plot106","f","Stratum-W11-2","W11","Vitis vinifera",0.005
"Plot107","f","Stratum-W11-2","W11","Acer campestre",0.00125
"Plot107","f","Stratum-W11-2","W11","Carpinus orientalis",2.5e-4
"Plot107","f","Stratum-W11-2","W11","Cephalanthera rubra",0.0025
"Plot107","f","Stratum-W11-2","W11","Chelidonium majus",0.005
"Plot107","f","Stratum-W11-2","W11","Cornus mas",0.0125
"Plot107","f","Stratum-W11-2","W11","Daphne laureola",0.00625
"Plot107","f","Stratum-W11-2","W11","Epilobium sp.",0.05625
"Plot107","f","Stratum-W11-2","W11","Euphorbia amygdaloides",0.0025
"Plot107","f","Stratum-W11-2","W11","Fraxinus ornus",0.04
"Plot107","f","Stratum-W11-2","W11","Galium mollugo group",0.02125
"Plot107","f","Stratum-W11-2","W11","Hieracium murorum",0.0275
"Plot107","f","Stratum-W11-2","W11","Hippocrepis emerus",0.03
"Plot107","f","Stratum-W11-2","W11","Hypericum perforatum",0.00125
"Plot107","f","Stratum-W11-2","W11","Lactuca muralis",0.00375
"Plot107","f","Stratum-W11-2","W11","Lepidium sativum",0.06625
"Plot107","f","Stratum-W11-2","W11","Leucanthemum vulgare",0.02125
"Plot107","f","Stratum-W11-2","W11","Luzula multiflora",0.02
"Plot107","f","Stratum-W11-2","W11","Quercus coccifera",0.03125
"Plot107","f","Stratum-W11-2","W11","Quercus frainetto",0.625
"Plot107","f","Stratum-W11-2","W11","Quercus petraea",0.00875
"Plot107","f","Stratum-W11-2","W11","Ranunculus acris",0.02375
"Plot107","f","Stratum-W11-2","W11","Sorbus domestica",0.00125
"Plot107","f","Stratum-W11-2","W11","Trifolium campestre",0.00125
"Plot107","f","Stratum-W11-2","W11","Urtica dioica",0.0025
"Plot107","f","Stratum-W11-2","W11","Veronica chamaedrys",0.00125
"Plot107","f","Stratum-W11-2","W11","Vicia tetrasperma",0.00125
"Plot107","f","Stratum-W11-2","W11","Viola alba",0.02125
"Plot108","f","Stratum-W11-2","W11","Carpinus orientalis",0.04875
"Plot108","f","Stratum-W11-2","W11","Cornus mas",0.0015
"Plot108","f","Stratum-W11-2","W11","Crataegus monogyna",0.02
"Plot108","f","Stratum-W11-2","W11","Cyclamen hederifolium",0.00625
"Plot108","f","Stratum-W11-2","W11","Filipendula vulgaris",0.005
"Plot108","f","Stratum-W11-2","W11","Fragaria vesca",0.015
"Plot108","f","Stratum-W11-2","W11","Fraxinus ornus",0.085
"Plot108","f","Stratum-W11-2","W11","Galium mollugo group",0.02125
"Plot108","f","Stratum-W11-2","W11","Luzula multiflora",0.02125
"Plot108","f","Stratum-W11-2","W11","Melica uniflora",0.005
"Plot108","f","Stratum-W11-2","W11","Quercus coccifera",0.00375
"Plot108","f","Stratum-W11-2","W11","Quercus frainetto",0.625
"Plot108","f","Stratum-W11-2","W11","Ranunculus acris",0.00625
"Plot108","f","Stratum-W11-2","W11","Rosa canina",0.00125
"Plot108","f","Stratum-W11-2","W11","Ruscus aculeatus",0.00125
"Plot108","f","Stratum-W11-2","W11","Sorbus domestica",0.0225
"Plot11","f","Stratum-U4-1","U4","Bromus hordeaceus",0.005
"Plot11","f","Stratum-U4-1","U4","Bromus media",0.005
"Plot11","f","Stratum-U4-1","U4","Carex flacca",0.0075
"Plot11","f","Stratum-U4-1","U4","Carlina corymbosa",0.005
"Plot11","f","Stratum-U4-1","U4","Centaurea solstitialis",0.0275
"Plot11","f","Stratum-U4-1","U4","Cichorium intybus",0.0625
"Plot11","f","Stratum-U4-1","U4","Echium italicum",0.14625
"Plot11","f","Stratum-U4-1","U4","Lolium perenne",0.02
"Plot11","f","Stratum-U4-1","U4","Medicago sativa",0.0875
"Plot11","f","Stratum-U4-1","U4","Ononis spinosa",0.02125
"Plot11","f","Stratum-U4-1","U4","Scolymus hispanicus",0.01
"Plot12","f","Stratum-U4-1","U4","Anthemis arvensis",0.4525
"Plot12","f","Stratum-U4-1","U4","Avena sterilis",0.00625
"Plot12","f","Stratum-U4-1","U4","Carlina corymbosa",0.1875
"Plot12","f","Stratum-U4-1","U4","Centaurea solstitialis",0.01
"Plot12","f","Stratum-U4-1","U4","Cichorium intybus",0.02125
"Plot12","f","Stratum-U4-1","U4","Galium sp.",0.01
"Plot12","f","Stratum-U4-1","U4","Lolium perenne",0.21875
"Plot12","f","Stratum-U4-1","U4","Rapistrum rugosum",0.02125
"Plot12","f","Stratum-U4-1","U4","Sanguisorba minor",0.01
"Plot12","f","Stratum-U4-1","U4","Trifolium campestre",0.01
"Plot121","f","Stratum-W10-1","W10","Carex flacca",0.09375
"Plot121","f","Stratum-W10-1","W10","Fagus sylvatica",0.02
"Plot121","f","Stratum-W10-1","W10","Festuca heterophylla",0.015
"Plot121","f","Stratum-W10-1","W10","Galium aparine",0.00125
"Plot121","f","Stratum-W10-1","W10","Juniperus oxycedrus",0.02
"Plot121","f","Stratum-W10-1","W10","Phleum pratense",0.00125
"Plot121","f","Stratum-W10-1","W10","Quercus cerris",0.16125
"Plot121","f","Stratum-W10-1","W10","Quercus frainetto",0.1775
"Plot121","f","Stratum-W10-1","W10","Rubus idaeus",0.005
"Plot121","f","Stratum-W10-1","W10","Teucrium chamaedrys",0.00125
"Plot121","f","Stratum-W10-1","W10","Thymus sibthorpii",0.005
"Plot121","f","Stratum-W10-1","W10","Trifolium angustifolium",0.03125
"Plot121","f","Stratum-W10-1","W10","Vicia grandiflora",0.0675
"Plot122","f","Stratum-W10-1","W10","Carex flacca",0.015
"Plot122","f","Stratum-W10-1","W10","Carpinus orientalis",0.005
"Plot122","f","Stratum-W10-1","W10","Daucus carota",0.005
"Plot122","f","Stratum-W10-1","W10","Fagus sylvatica",0.005
"Plot122","f","Stratum-W10-1","W10","Galium aparine",0.005
"Plot122","f","Stratum-W10-1","W10","Juniperus oxycedrus",0.11625
"Plot122","f","Stratum-W10-1","W10","Quercus cerris",0.05625
"Plot122","f","Stratum-W10-1","W10","Quercus frainetto",0.48
"Plot122","f","Stratum-W10-1","W10","Trifolium medium subsp. balcanicum",0.15625
"Plot122","f","Stratum-W10-1","W10","Vicia grandiflora",0.00125
"Plot123","f","Stratum-W10-1","W10","Carex flacca",0.01
"Plot123","f","Stratum-W10-1","W10","Carpinus orientalis",0.01
"Plot123","f","Stratum-W10-1","W10","Fagus sylvatica",0.6675
"Plot123","f","Stratum-W10-1","W10","Foeniculum vulgare",0.03125
"Plot123","f","Stratum-W10-1","W10","Geranium rotundifolium",0.005
"Plot123","f","Stratum-W10-1","W10","Juniperus oxycedrus",0.02
"Plot123","f","Stratum-W10-1","W10","Lathyrus laxiflorus",0.005
"Plot123","f","Stratum-W10-1","W10","Poa nemoralis",0.03
"Plot123","f","Stratum-W10-1","W10","Quercus cerris",0.0425
"Plot123","f","Stratum-W10-1","W10","Quercus frainetto",0.23
"Plot123","f","Stratum-W10-1","W10","Rosa canina",0.025
"Plot123","f","Stratum-W10-1","W10","Teucrium chamaedrys",0.005
"Plot123","f","Stratum-W10-1","W10","Viola alba",0.00125
"Plot124","f","Stratum-W10-1","W10","Allium sp.",2.5e-4
"Plot124","f","Stratum-W10-1","W10","Carex flacca",0.01
"Plot124","f","Stratum-W10-1","W10","Cornus sanguinea",0.02
"Plot124","f","Stratum-W10-1","W10","Daphne laureola",0.02125
"Plot124","f","Stratum-W10-1","W10","Fagus sylvatica",0.14
"Plot124","f","Stratum-W10-1","W10","Fragaria vesca",0.0225
"Plot124","f","Stratum-W10-1","W10","Juniperus oxycedrus",0.01
"Plot124","f","Stratum-W10-1","W10","Knautia drymeia",0.01
"Plot124","f","Stratum-W10-1","W10","Lactuca sp.",0.005
"Plot124","f","Stratum-W10-1","W10","Lathyrus laxiflorus",0.09375
"Plot124","f","Stratum-W10-1","W10","Quercus cerris",0.195
"Plot124","f","Stratum-W10-1","W10","Quercus trojana",0.625
"Plot124","f","Stratum-W10-1","W10","Rosa canina",0.02
"Plot124","f","Stratum-W10-1","W10","Rubus idaeus",0.00125
"Plot124","f","Stratum-W10-1","W10","Verbascum sp.",0.005
"Plot124","f","Stratum-W10-1","W10","Viola alba",0.005
"Plot125","f","Stratum-W10-1","W10","Acer monspessulanum",0.09375
"Plot125","f","Stratum-W10-1","W10","Carex flacca",0.05125
"Plot125","f","Stratum-W10-1","W10","Carpinus orientalis",0.03125
"Plot125","f","Stratum-W10-1","W10","Festuca heterophylla",0.05625
"Plot125","f","Stratum-W10-1","W10","Galium aparine",0.01
"Plot125","f","Stratum-W10-1","W10","Hordeum bulbosum",0.16625
"Plot125","f","Stratum-W10-1","W10","Juniperus oxycedrus",0.01
"Plot125","f","Stratum-W10-1","W10","Ononis reclinata",0.005
"Plot125","f","Stratum-W10-1","W10","Pistacia terebinthus",0.005
"Plot125","f","Stratum-W10-1","W10","Pyrus spinosa",0.005
"Plot125","f","Stratum-W10-1","W10","Quercus trojana",0.375
"Plot125","f","Stratum-W10-1","W10","Silene italica",0.01125
"Plot125","f","Stratum-W10-1","W10","Teucrium chamaedrys",0.005
"Plot125","f","Stratum-W10-1","W10","Thymus longicaulis",0.02125
"Plot125","f","Stratum-W10-1","W10","Vicia grandiflora",0.03125
"Plot126","f","Stratum-W10-1","W10","Asparagus acutifolius",0.005
"Plot126","f","Stratum-W10-1","W10","Carex flacca",0.01
"Plot126","f","Stratum-W10-1","W10","Carpinus orientalis",0.15625
"Plot126","f","Stratum-W10-1","W10","Clematis vitalba",0.01
"Plot126","f","Stratum-W10-1","W10","Daphne laureola",0.0225
"Plot126","f","Stratum-W10-1","W10","Festuca heterophylla",0.01
"Plot126","f","Stratum-W10-1","W10","Galium verum",0.005
"Plot126","f","Stratum-W10-1","W10","Hordeum bulbosum",0.11375
"Plot126","f","Stratum-W10-1","W10","Juniperus oxycedrus",0.0925
"Plot126","f","Stratum-W10-1","W10","Lathyrus niger",0.09875
"Plot126","f","Stratum-W10-1","W10","Quercus trojana",0.625
"Plot126","f","Stratum-W10-1","W10","Ruscus aculeatus",0.005
"Plot126","f","Stratum-W10-1","W10","Silene italica",0.01625
"Plot126","f","Stratum-W10-1","W10","Teucrium chamaedrys",0.00125
"Plot126","f","Stratum-W10-1","W10","Thymus longicaulis",0.005
"Plot126","f","Stratum-W10-1","W10","Vicia grandiflora",0.0475
"Plot126","f","Stratum-W10-1","W10","Viola alba",0.00125
"Plot127","f","Stratum-W10-1","W10","Acer monspessulanum",0.00125
"Plot127","f","Stratum-W10-1","W10","Carpinus orientalis",0.005
"Plot127","f","Stratum-W10-1","W10","Cerastium semidecandrum",0.00125
"Plot127","f","Stratum-W10-1","W10","Dactylis glomerata",0.00625
"Plot127","f","Stratum-W10-1","W10","Galium verum",0.01
"Plot127","f","Stratum-W10-1","W10","Hordeum bulbosum",0.05625
"Plot127","f","Stratum-W10-1","W10","Juniperus oxycedrus",0.1875
"Plot127","f","Stratum-W10-1","W10","Lactuca sp.",0.0025
"Plot127","f","Stratum-W10-1","W10","Muscari neglectum",0.0015
"Plot127","f","Stratum-W10-1","W10","Ononis reclinata",0.03625
"Plot127","f","Stratum-W10-1","W10","Quercus cerris",0.005
"Plot127","f","Stratum-W10-1","W10","Quercus trojana",0.185
"Plot127","f","Stratum-W10-1","W10","Silene italica",0.03625
"Plot127","f","Stratum-W10-1","W10","Teucrium chamaedrys",0.02625
"Plot127","f","Stratum-W10-1","W10","Thymus longicaulis",0.005
"Plot127","f","Stratum-W10-1","W10","Trifolium angustifolium",0.005
"Plot127","f","Stratum-W10-1","W10","Verbascum sp.",0.00125
"Plot128","f","Stratum-W10-1","W10","Allium sp.",0.00125
"Plot128","f","Stratum-W10-1","W10","Alyssum sp.",0.01
"Plot128","f","Stratum-W10-1","W10","Galium verum",0.005
"Plot128","f","Stratum-W10-1","W10","Genista carinalis",0.09375
"Plot128","f","Stratum-W10-1","W10","Hordeum bulbosum",0.265
"Plot128","f","Stratum-W10-1","W10","Juniperus oxycedrus",0.1875
"Plot128","f","Stratum-W10-1","W10","Microthlaspi perfoliatum",0.005
"Plot128","f","Stratum-W10-1","W10","Muscari neglectum",0.00125
"Plot128","f","Stratum-W10-1","W10","Ononis reclinata",0.03625
"Plot128","f","Stratum-W10-1","W10","Pterocephalus perennis",2.5e-4
"Plot128","f","Stratum-W10-1","W10","Quercus cerris",0.10375
"Plot128","f","Stratum-W10-1","W10","Quercus trojana",0.185
"Plot128","f","Stratum-W10-1","W10","Silene italica",0.005
"Plot128","f","Stratum-W10-1","W10","Teucrium chamaedrys",0.02
"Plot128","f","Stratum-W10-1","W10","Thymus longicaulis",0.01
"Plot128","f","Stratum-W10-1","W10","Trifolium angustifolium",0.03125
"Plot128","f","Stratum-W10-1","W10","Veronica sp.",0.02125
"Plot129","f","Stratum-W10-1","W10","Alyssum sp.",0.02125
"Plot129","f","Stratum-W10-1","W10","Euphorbia taurinensis",0.00125
"Plot129","f","Stratum-W10-1","W10","Hordeum bulbosum",0.04
"Plot129","f","Stratum-W10-1","W10","Juniperus oxycedrus",0.26
"Plot129","f","Stratum-W10-1","W10","Quercus petraea",0.005
"Plot129","f","Stratum-W10-1","W10","Quercus trojana",0.1875
"Plot129","f","Stratum-W10-1","W10","Teucrium capitatum",0.00125
"Plot129","f","Stratum-W10-1","W10","Teucrium chamaedrys",0.005
"Plot129","f","Stratum-W10-1","W10","Thymus longicaulis",0.01
"Plot130","f","Stratum-W10-1","W10","Acer monspessulanum",0.2125
"Plot130","f","Stratum-W10-1","W10","Achillea millefolium",0.005
"Plot130","f","Stratum-W10-1","W10","Asparagus acutifolius",0.02125
"Plot130","f","Stratum-W10-1","W10","Carpinus orientalis",0.04625
"Plot130","f","Stratum-W10-1","W10","Clematis vitalba",0.015
"Plot130","f","Stratum-W10-1","W10","Cornus sanguinea",0.03
"Plot130","f","Stratum-W10-1","W10","Dactylis glomerata",0.01
"Plot130","f","Stratum-W10-1","W10","Filipendula vulgaris",0.00625
"Plot130","f","Stratum-W10-1","W10","Juniperus oxycedrus",0.0925
"Plot130","f","Stratum-W10-1","W10","Lathyrus laxiflorus",0.04125
"Plot130","f","Stratum-W10-1","W10","Lotus corniculatus",0.005
"Plot130","f","Stratum-W10-1","W10","Poa nemoralis",0.0775
"Plot130","f","Stratum-W10-1","W10","Quercus petraea",0.185
"Plot130","f","Stratum-W10-1","W10","Quercus trojana",0.185
"Plot130","f","Stratum-W10-1","W10","Rosa canina",0.0925
"Plot130","f","Stratum-W10-1","W10","Teucrium chamaedrys",0.01
"Plot130","f","Stratum-W10-1","W10","Trifolium angustifolium",0.005
"Plot130","f","Stratum-W10-1","W10","Vicia grandiflora",0.0725
"Plot131","f","Stratum-W10-1","W10","Acer monspessulanum",0.085
"Plot131","f","Stratum-W10-1","W10","Allium sp.",0.005
"Plot131","f","Stratum-W10-1","W10","Arceuthobium oxycedri",0.015
"Plot131","f","Stratum-W10-1","W10","Carex flacca",0.01
"Plot131","f","Stratum-W10-1","W10","Carpinus orientalis",0.18625
"Plot131","f","Stratum-W10-1","W10","Clematis vitalba",0.05625
"Plot131","f","Stratum-W10-1","W10","Cornus sanguinea",0.03125
"Plot131","f","Stratum-W10-1","W10","Dactylis glomerata",0.015
"Plot131","f","Stratum-W10-1","W10","Fragaria vesca",0.00125
"Plot131","f","Stratum-W10-1","W10","Juniperus oxycedrus",0.0525
"Plot131","f","Stratum-W10-1","W10","Lathyrus laxiflorus",0.01
"Plot131","f","Stratum-W10-1","W10","Poa nemoralis",0.0775
"Plot131","f","Stratum-W10-1","W10","Quercus cerris",0.375
"Plot131","f","Stratum-W10-1","W10","Rosa canina",0.115
"Plot131","f","Stratum-W10-1","W10","Silene italica",0.01
"Plot131","f","Stratum-W10-1","W10","Teucrium chamaedrys",0.005
"Plot131","f","Stratum-W10-1","W10","Vicia grandiflora",0.005
"Plot131","f","Stratum-W10-1","W10","Viola alba",0.015
"Plot132","f","Stratum-W10-1","W10","Acer monspessulanum",0.09875
"Plot132","f","Stratum-W10-1","W10","Carex flacca",0.01125
"Plot132","f","Stratum-W10-1","W10","Carpinus orientalis",0.09375
"Plot132","f","Stratum-W10-1","W10","Clematis vitalba",0.01
"Plot132","f","Stratum-W10-1","W10","Dactylis glomerata",0.02
"Plot132","f","Stratum-W10-1","W10","Daphne laureola",0.04625
"Plot132","f","Stratum-W10-1","W10","Eryngium amethystinum",0.00125
"Plot132","f","Stratum-W10-1","W10","Euphorbia taurinensis",0.005
"Plot132","f","Stratum-W10-1","W10","Galium verum",0.005
"Plot132","f","Stratum-W10-1","W10","Holcus lanatus",0.005
"Plot132","f","Stratum-W10-1","W10","Hordeum bulbosum",0.11875
"Plot132","f","Stratum-W10-1","W10","Juniperus oxycedrus",0.10375
"Plot132","f","Stratum-W10-1","W10","Lathyrus laxiflorus",0.005
"Plot132","f","Stratum-W10-1","W10","Quercus petraea",0.085
"Plot132","f","Stratum-W10-1","W10","Quercus trojana",0.375
"Plot132","f","Stratum-W10-1","W10","Rosa canina",0.0675
"Plot132","f","Stratum-W10-1","W10","Silene italica",0.015
"Plot132","f","Stratum-W10-1","W10","Teucrium chamaedrys",0.01
"Plot132","f","Stratum-W10-1","W10","Trifolium angustifolium",0.04625
"Plot132","f","Stratum-W10-1","W10","Vicia grandiflora",0.145
"Plot132","f","Stratum-W10-1","W10","Viola alba",0.015
