"stem_id","plotCode","focalOrBenchmark","landCover","vegClass","subplot","ind","ind_id","stratum","species","dbh_cm","ba_m2"
1,"Plot100","f","Stratum-W11-2","W11","1",1,"Plot100_1","Stems >=10 cm DBH","Robinia pseudoacacia",13,0.013273228961416876
2,"Plot100","f","Stratum-W11-2","W11","1",2,"Plot100_2","Stems >=10 cm DBH","Robinia pseudoacacia",13,0.013273228961416876
3,"Plot100","f","Stratum-W11-2","W11","1",3,"Plot100_3","Stems >=10 cm DBH","Robinia pseudoacacia",11,0.009503317777109124
4,"Plot100","f","Stratum-W11-2","W11","1",4,"Plot100_4","Stems >=10 cm DBH","Robinia pseudoacacia",10,0.007853981633974483
5,"Plot100","f","Stratum-W11-2","W11","1",5,"Plot100_5","Stems >=10 cm DBH","Robinia pseudoacacia",10,0.007853981633974483
6,"Plot100","f","Stratum-W11-2","W11","1",6,"Plot100_6","Stems >=10 cm DBH","Robinia pseudoacacia",11,0.009503317777109124
7,"Plot100","f","Stratum-W11-2","W11","1",7,"Plot100_7","Stems 2.5-10 cm DBH","Robinia pseudoacacia",2.5,4.908738521234052e-4
8,"Plot100","f","Stratum-W11-2","W11","1",8,"Plot100_8","Stems 2.5-10 cm DBH","Robinia pseudoacacia",2.5,4.908738521234052e-4
9,"Plot100","f","Stratum-W11-2","W11","1",9,"Plot100_9","Stems 2.5-10 cm DBH","Robinia pseudoacacia",5,0.001963495408493621
10,"Plot100","f","Stratum-W11-2","W11","1",10,"Plot100_10","Stems >=10 cm DBH","Robinia pseudoacacia",14,0.015393804002589986
11,"Plot100","f","Stratum-W11-2","W11","1",11,"Plot100_11","Stems >=10 cm DBH","Robinia pseudoacacia",11,0.009503317777109124
12,"Plot100","f","Stratum-W11-2","W11","2",12,"Plot100_12","Stems >=10 cm DBH","Robinia pseudoacacia",15,0.017671458676442587
13,"Plot100","f","Stratum-W11-2","W11","2",13,"Plot100_13","Stems >=10 cm DBH","Robinia pseudoacacia",10,0.007853981633974483
14,"Plot100","f","Stratum-W11-2","W11","2",14,"Plot100_14","Stems >=10 cm DBH","Robinia pseudoacacia",11.5,0.010386890710931252
15,"Plot100","f","Stratum-W11-2","W11","2",15,"Plot100_15","Stems 2.5-10 cm DBH","Robinia pseudoacacia",9,0.0063617251235193305
16,"Plot100","f","Stratum-W11-2","W11","2",16,"Plot100_16","Stems >=10 cm DBH","Robinia pseudoacacia",11,0.009503317777109124
17,"Plot100","f","Stratum-W11-2","W11","2",17,"Plot100_17","Stems 2.5-10 cm DBH","Robinia pseudoacacia",8,0.005026548245743669
18,"Plot100","f","Stratum-W11-2","W11","2",18,"Plot100_18","Stems >=10 cm DBH","Robinia pseudoacacia",13,0.013273228961416876
19,"Plot100","f","Stratum-W11-2","W11","2",19,"Plot100_19","Stems >=10 cm DBH","Robinia pseudoacacia",12,0.011309733552923255
20,"Plot100","f","Stratum-W11-2","W11","2",20,"Plot100_20","Stems >=10 cm DBH","Robinia pseudoacacia",12,0.011309733552923255
21,"Plot100","f","Stratum-W11-2","W11","3",21,"Plot100_21","Stems >=10 cm DBH","Robinia pseudoacacia",10.5,0.008659014751456867
22,"Plot100","f","Stratum-W11-2","W11","3",22,"Plot100_22","Stems >=10 cm DBH","Robinia pseudoacacia",14,0.015393804002589986
23,"Plot100","f","Stratum-W11-2","W11","3",23,"Plot100_23","Stems 2.5-10 cm DBH","Robinia pseudoacacia",6,0.0028274333882308137
24,"Plot100","f","Stratum-W11-2","W11","3",24,"Plot100_24","Stems >=10 cm DBH","Robinia pseudoacacia",10.5,0.008659014751456867
25,"Plot100","f","Stratum-W11-2","W11","3",25,"Plot100_25","Stems >=10 cm DBH","Robinia pseudoacacia",12,0.011309733552923255
26,"Plot100","f","Stratum-W11-2","W11","3",26,"Plot100_26","Stems >=10 cm DBH","Robinia pseudoacacia",13,0.013273228961416876
27,"Plot100","f","Stratum-W11-2","W11","3",27,"Plot100_27","Stems >=10 cm DBH","Robinia pseudoacacia",14.5,0.01651299638543135
28,"Plot100","f","Stratum-W11-2","W11","3",28,"Plot100_28","Stems >=10 cm DBH","Robinia pseudoacacia",14,0.015393804002589986
29,"Plot100","f","Stratum-W11-2","W11","3",29,"Plot100_29","Stems >=10 cm DBH","Robinia pseudoacacia",12,0.011309733552923255
3330,"Plot100","f","Stratum-W11-2","W11","1",7,"Plot100_7","Stems 2.5-10 cm DBH","Robinia pseudoacacia",4.5,0.0015904312808798326
3331,"Plot100","f","Stratum-W11-2","W11","3",24,"Plot100_24","Stems 2.5-10 cm DBH","Robinia pseudoacacia",7,0.0038484510006474965
3329,"Plot100","f","Stratum-W11-2","W11","1",5,"Plot100_5","Stems >=10 cm DBH","Robinia pseudoacacia",10.5,0.008659014751456867
32,"Plot101","f","Stratum-W11-2","W11","1",3,"Plot101_3","Stems 2.5-10 cm DBH","Pinus nigra",4,0.0012566370614359172
30,"Plot101","f","Stratum-W11-2","W11","1",1,"Plot101_1","Stems >=10 cm DBH","Quercus cerris",10.5,0.008659014751456867
