"plotCode","focalOrBenchmark","landCover","vegClass","stratum","cover"
"Plot109","f","Stratum-W10-1","W10","Herbs & Subshrubs",0.31154381084840055
"Plot110","f","Stratum-W10-1","W10","Herbs & Subshrubs",0.22461752433936022
"Plot111","f","Stratum-W10-1","W10","Herbs & Subshrubs",0.2997218358831711
"Plot112","f","Stratum-W10-1","W10","Herbs & Subshrubs",0.32127955493741306
"Plot113","f","Stratum-W10-1","W10","Herbs & Subshrubs",0.33031988873435325
"Plot114","f","Stratum-W10-1","W10","Herbs & Subshrubs",0.4506258692628651
"Plot115","f","Stratum-W10-1","W10","Herbs & Subshrubs",0.3657858136300417
"Plot116","f","Stratum-W10-1","W10","Herbs & Subshrubs",0.43532684283727396
"Plot117","f","Stratum-W10-1","W10","Herbs & Subshrubs",0.20111265646731571
"Plot118","f","Stratum-W10-1","W10","Herbs & Subshrubs",0.20598052851182197
"Plot119","f","Stratum-W10-1","W10","Herbs & Subshrubs",0.15034770514603615
"Plot120","f","Stratum-W10-1","W10","Herbs & Subshrubs",0.1525730180806676
"Plot13","f","Stratum-U4-1","U4","Herbs & Subshrubs",0.5048678720445062
"Plot133","f","Stratum-W17-1","W17","Herbs & Subshrubs",0.43045897079276774
"Plot134","f","Stratum-W17-1","W17","Herbs & Subshrubs",0.6029207232267038
"Plot135","f","Stratum-W17-1","W17","Herbs & Subshrubs",0.4381084840055633
"Plot136","f","Stratum-W17-1","W17","Herbs & Subshrubs",0.7058414464534075
"Plot137","f","Stratum-W17-1","W17","Herbs & Subshrubs",0.45479833101529904
"Plot138","f","Stratum-W17-1","W17","Herbs & Subshrubs",0.7399165507649513
"Plot139","f","Stratum-W17-1","W17","Herbs & Subshrubs",0.46870653685674546
"Plot14","f","Stratum-U4-1","U4","Herbs & Subshrubs",0.49235048678720444
"Plot140","f","Stratum-W17-1","W17","Herbs & Subshrubs",0.9944367176634215
"Plot141","f","Stratum-W17-1","W17","Herbs & Subshrubs",0.7385257301808067
"Plot142","f","Stratum-W17-1","W17","Herbs & Subshrubs",0.6821974965229486
"Plot143","f","Stratum-W17-1","W17","Herbs & Subshrubs",0.34909596662030595
"Plot144","f","Stratum-W17-1","W17","Herbs & Subshrubs",0.5417246175243393
"Plot15","f","Stratum-U4-1","U4","Herbs & Subshrubs",0.4390820584144645
"Plot157","f","Stratum-W21-1","W21","Herbs & Subshrubs",0.26286509040333794
"Plot158","f","Stratum-W21-1","W21","Herbs & Subshrubs",0.2991655076495132
"Plot159","f","Stratum-W21-1","W21","Herbs & Subshrubs",0.2635605006954103
"Plot16","f","Stratum-U4-1","U4","Herbs & Subshrubs",0.5013908205841446
"Plot160","f","Stratum-W21-1","W21","Herbs & Subshrubs",0.23226703755215578
"Plot161","f","Stratum-W21-1","W21","Herbs & Subshrubs",0.21627260083449235
"Plot162","f","Stratum-W21-1","W21","Herbs & Subshrubs",0.37844228094575805
"Plot163","f","Stratum-W21-1","W21","Herbs & Subshrubs",0.2543810848400556
"Plot164","f","Stratum-W21-1","W21","Herbs & Subshrubs",0.3617524339360223
"Plot165","f","Stratum-W21-1","W21","Herbs & Subshrubs",0.11627260083449234
"Plot166","f","Stratum-W21-1","W21","Herbs & Subshrubs",0.3746870653685675
"Plot167","f","Stratum-W21-1","W21","Herbs & Subshrubs",0.27844228094575796
"Plot168","f","Stratum-W21-1","W21","Herbs & Subshrubs",0.3009735744089012
"Plot17","f","Stratum-U4-1","U4","Herbs & Subshrubs",0.41112656467315717
"Plot18","f","Stratum-U4-1","U4","Herbs & Subshrubs",0.4796940194714883
"Plot181","f","Stratum-W2-1","W2","Herbs & Subshrubs",0.2610570236439499
"Plot182","f","Stratum-W2-1","W2","Herbs & Subshrubs",0.3457579972183588
"Plot183","f","Stratum-W2-1","W2","Herbs & Subshrubs",0.28372739916550765
"Plot184","f","Stratum-W2-1","W2","Herbs & Subshrubs",0.43393602225312933
"Plot185","f","Stratum-W2-1","W2","Herbs & Subshrubs",0.311682892906815
"Plot186","f","Stratum-W2-1","W2","Herbs & Subshrubs",0.37858136300417244
"Plot187","f","Stratum-W2-1","W2","Herbs & Subshrubs",0.31223922114047287
"Plot188","f","Stratum-W2-1","W2","Herbs & Subshrubs",0.5503477051460361
"Plot189","f","Stratum-W2-1","W2","Herbs & Subshrubs",0.5006954102920723
"Plot19","f","Stratum-U4-1","U4","Herbs & Subshrubs",0.48247566063977754
"Plot190","f","Stratum-W2-1","W2","Herbs & Subshrubs",0.4172461752433936
"Plot191","f","Stratum-W2-1","W2","Herbs & Subshrubs",0.31543810848400555
"Plot192","f","Stratum-W2-1","W2","Herbs & Subshrubs",0.5111265646731572
"Plot20","f","Stratum-U4-1","U4","Herbs & Subshrubs",0.20445062586926285
"Plot205","f","Stratum-U17-1","U17","Herbs & Subshrubs",0.4095966620305981
"Plot206","f","Stratum-U17-1","U17","Herbs & Subshrubs",0.22962447844228093
"Plot207","f","Stratum-U17-1","U17","Herbs & Subshrubs",0.0941585535465925
"Plot208","f","Stratum-U17-1","U17","Herbs & Subshrubs",0.12698191933240613
"Plot209","f","Stratum-U17-1","U17","Herbs & Subshrubs",0.23824756606397773
"Plot21","f","Stratum-U4-1","U4","Herbs & Subshrubs",0.38317107093184977
"Plot210","f","Stratum-U17-1","U17","Herbs & Subshrubs",0.5100139082058415
"Plot211","f","Stratum-U17-1","U17","Herbs & Subshrubs",0.1670375521557719
"Plot212","f","Stratum-U17-1","U17","Herbs & Subshrubs",0.20792767732962447
"Plot213","f","Stratum-U17-1","U17","Herbs & Subshrubs",0.2426981919332406
"Plot214","f","Stratum-U17-1","U17","Herbs & Subshrubs",0.4095966620305981
"Plot215","f","Stratum-U17-1","U17","Herbs & Subshrubs",0.5431154381084841
"Plot216","f","Stratum-U17-1","U17","Herbs & Subshrubs",0.41585535465924894
