"plotCode","focalOrBenchmark","vegClass","landCover"
"PlotBm25","b","M24","M24"
"PlotBm26","b","M24","M24"
"PlotBm27","b","M24","M24"
"PlotBm28","b","M24","M24"
"PlotBm29","b","M24","M24"
"PlotBm30","b","M24","M24"
"PlotBm31","b","M24","M24"
"PlotBm32","b","M24","M24"
"PlotBm33","b","M24","M24"
"PlotBm34","b","M24","M24"
"PlotBm35","b","M24","M24"
"PlotBm36","b","M24","M24"
"Plot277","f","M24","Stratum-M24-1"
"Plot278","f","M24","Stratum-M24-1"
"Plot279","f","M24","Stratum-M24-1"
"Plot280","f","M24","Stratum-M24-1"
"Plot281","f","M24","Stratum-M24-1"
"Plot282","f","M24","Stratum-M24-1"
"Plot283","f","M24","Stratum-M24-1"
"Plot287","f","M24","Stratum-M24-1"
"Plot288","f","M24","Stratum-M24-1"
"Plot285","f","M24","Stratum-M24-1"
"Plot286","f","M24","Stratum-M24-1"
"Plot284","f","M24","Stratum-M24-1"
"PlotBm84","b","U16","U16"
"PlotBm67","b","U16","U16"
"PlotBm68","b","U16","U16"
"PlotBm69","b","U16","U16"
"PlotBm70","b","U16","U16"
"PlotBm71","b","U16","U16"
"PlotBm72","b","U16","U16"
"PlotBm79","b","U16","U16"
"PlotBm80","b","U16","U16"
"PlotBm81","b","U16","U16"
"PlotBm82","b","U16","U16"
"PlotBm83","b","U16","U16"
"Plot242","f","U16","Stratum-U16-1"
"Plot243","f","U16","Stratum-U16-1"
"Plot248","f","U16","Stratum-U16-1"
"Plot249","f","U16","Stratum-U16-1"
"Plot246","f","U16","Stratum-U16-1"
"Plot247","f","U16","Stratum-U16-1"
"Plot252","f","U16","Stratum-U16-1"
"Plot250","f","U16","Stratum-U16-1"
"Plot251","f","U16","Stratum-U16-1"
"Plot262","f","U16","Stratum-U16-2"
"Plot244","f","U16","Stratum-U16-1"
"Plot245","f","U16","Stratum-U16-1"
"Plot241","f","U16","Stratum-U16-1"
"Plot258","f","U16","Stratum-U16-2"
"Plot253","f","U16","Stratum-U16-2"
"Plot254","f","U16","Stratum-U16-2"
"Plot255","f","U16","Stratum-U16-2"
"Plot256","f","U16","Stratum-U16-2"
"Plot257","f","U16","Stratum-U16-2"
"Plot263","f","U16","Stratum-U16-2"
"Plot260","f","U16","Stratum-U16-2"
"Plot261","f","U16","Stratum-U16-2"
"Plot264","f","U16","Stratum-U16-2"
"Plot259","f","U16","Stratum-U16-2"
"Plot209","f","U17","Stratum-U17-1"
"PlotBm76","b","U17","U17"
"PlotBm78","b","U17","U17"
"Plot210","f","U17","Stratum-U17-1"
"Plot211","f","U17","Stratum-U17-1"
"Plot212","f","U17","Stratum-U17-1"
"Plot213","f","U17","Stratum-U17-1"
"Plot208","f","U17","Stratum-U17-1"
"Plot205","f","U17","Stratum-U17-1"
"Plot206","f","U17","Stratum-U17-1"
"Plot207","f","U17","Stratum-U17-1"
"Plot214","f","U17","Stratum-U17-1"
"PlotBm74","b","U17","U17"
"PlotBm75","b","U17","U17"
"PlotBm77","b","U17","U17"
"PlotBm62","b","U17","U17"
"PlotBm63","b","U17","U17"
"PlotBm64","b","U17","U17"
"PlotBm61","b","U17","U17"
"Plot216","f","U17","Stratum-U17-1"
"PlotBm73","b","U17","U17"
"Plot215","f","U17","Stratum-U17-1"
"PlotBm65","b","U17","U17"
"PlotBm66","b","U17","U17"
"PlotBm86","b","U4","U4"
"Plot48","f","U4","Stratum-U4-2"
"Plot46","f","U4","Stratum-U4-2"
"PlotBm85","b","U4","U4"
"Plot24","f","U4","Stratum-U4-1"
"Plot22","f","U4","Stratum-U4-1"
"Plot45","f","U4","Stratum-U4-2"
"PlotBm96","b","U4","U4"
"Plot21","f","U4","Stratum-U4-1"
"PlotBm89","b","U4","U4"
"PlotBm90","b","U4","U4"
"PlotBm87","b","U4","U4"
"PlotBm88","b","U4","U4"
"Plot47","f","U4","Stratum-U4-2"
"PlotBm94","b","U4","U4"
"PlotBm95","b","U4","U4"
"Plot20","f","U4","Stratum-U4-1"
"Plot37","f","U4","Stratum-U4-2"
"Plot38","f","U4","Stratum-U4-2"
"Plot39","f","U4","Stratum-U4-2"
"Plot44","f","U4","Stratum-U4-2"
"PlotBm91","b","U4","U4"
"PlotBm92","b","U4","U4"
"PlotBm93","b","U4","U4"
"Plot40","f","U4","Stratum-U4-2"
"Plot23","f","U4","Stratum-U4-1"
"Plot14","f","U4","Stratum-U4-1"
"Plot19","f","U4","Stratum-U4-1"
"Plot17","f","U4","Stratum-U4-1"
"Plot13","f","U4","Stratum-U4-1"
"Plot15","f","U4","Stratum-U4-1"
"Plot18","f","U4","Stratum-U4-1"
"Plot43","f","U4","Stratum-U4-2"
"Plot16","f","U4","Stratum-U4-1"
"Plot42","f","U4","Stratum-U4-2"
"Plot41","f","U4","Stratum-U4-2"
"PlotBm133","b","W10","W10"
"Plot117","f","W10","Stratum-W10-1"
"PlotBm121","b","W10","W10"
"PlotBm123","b","W10","W10"
"Plot118","f","W10","Stratum-W10-1"
"PlotBm132","b","W10","W10"
"PlotBm131","b","W10","W10"
"PlotBm127","b","W10","W10"
"Plot119","f","W10","Stratum-W10-1"
"PlotBm122","b","W10","W10"
"PlotBm126","b","W10","W10"
"Plot116","f","W10","Stratum-W10-1"
"PlotBm124","b","W10","W10"
"PlotBm125","b","W10","W10"
"PlotBm130","b","W10","W10"
"Plot110","f","W10","Stratum-W10-1"
"Plot111","f","W10","Stratum-W10-1"
"Plot120","f","W10","Stratum-W10-1"
"Plot109","f","W10","Stratum-W10-1"
"Plot115","f","W10","Stratum-W10-1"
"Plot114","f","W10","Stratum-W10-1"
"PlotBm128","b","W10","W10"
"PlotBm129","b","W10","W10"
"Plot112","f","W10","Stratum-W10-1"
"Plot113","f","W10","Stratum-W10-1"
"PlotBm111","b","W11","W11"
"Plot89","f","W11","Stratum-W11-2"
"PlotBm109","b","W11","W11"
"PlotBm110","b","W11","W11"
"Plot94","f","W11","Stratum-W11-2"
"Plot96","f","W11","Stratum-W11-2"
"Plot90","f","W11","Stratum-W11-2"
"Plot95","f","W11","Stratum-W11-2"
"Plot91","f","W11","Stratum-W11-2"
"Plot92","f","W11","Stratum-W11-2"
"Plot88","f","W11","Stratum-W11-2"
"PlotBm112","b","W11","W11"
"Plot86","f","W11","Stratum-W11-2"
