"plotCode","focalOrBenchmark","landCover","vegClass","species","cover"
"Plot109","f","Stratum-W10-1","W10","Dactylis glomerata",0.04625
"Plot109","f","Stratum-W10-1","W10","Festuca heterophylla",0.28
"Plot109","f","Stratum-W10-1","W10","Linum sp.",0.015
"Plot109","f","Stratum-W10-1","W10","Lolium perenne",0.01
"Plot109","f","Stratum-W10-1","W10","Medicago sativa",0.1825
"Plot109","f","Stratum-W10-1","W10","Trifolium nigrescens",0.02625
"Plot110","f","Stratum-W10-1","W10","Carduus sp.",0.005
"Plot110","f","Stratum-W10-1","W10","Crepis sancta",0.005
"Plot110","f","Stratum-W10-1","W10","Festuca heterophylla",0.01
"Plot110","f","Stratum-W10-1","W10","Hordeum bulbosum",0.005
"Plot110","f","Stratum-W10-1","W10","Ilex aquifolium",0.00125
"Plot110","f","Stratum-W10-1","W10","Lolium perenne",0.01
"Plot110","f","Stratum-W10-1","W10","Lotus corniculatus",0.125
"Plot110","f","Stratum-W10-1","W10","Medicago sativa",0.06125
"Plot110","f","Stratum-W10-1","W10","Plantago lanceolata",0.00125
"Plot110","f","Stratum-W10-1","W10","Potentilla recta",0.02625
"Plot110","f","Stratum-W10-1","W10","Ptilostemon strictus",0.0225
"Plot110","f","Stratum-W10-1","W10","Rubus idaeus",0.005
"Plot110","f","Stratum-W10-1","W10","Rumex sp.",0.00125
"Plot110","f","Stratum-W10-1","W10","Torilis arvensis",0.02125
"Plot110","f","Stratum-W10-1","W10","Trifolium campestre",0.01
"Plot110","f","Stratum-W10-1","W10","Trifolium pratense",0.09375
"Plot111","f","Stratum-W10-1","W10","Bromus hordeaceus",0.01
"Plot111","f","Stratum-W10-1","W10","Centaurea affinis",0.08875
"Plot111","f","Stratum-W10-1","W10","Cerastium semidecandrum",0.04625
"Plot111","f","Stratum-W10-1","W10","Linum sp.",0.01125
"Plot111","f","Stratum-W10-1","W10","Lotus corniculatus",0.18625
"Plot111","f","Stratum-W10-1","W10","Medicago minima",0.02
"Plot111","f","Stratum-W10-1","W10","Plantago lanceolata",0.005
"Plot111","f","Stratum-W10-1","W10","Potentilla recta",0.04625
"Plot111","f","Stratum-W10-1","W10","Ptilostemon strictus",0.01625
"Plot111","f","Stratum-W10-1","W10","Quercus cerris",0.00125
"Plot111","f","Stratum-W10-1","W10","Rubus idaeus",0.005
"Plot111","f","Stratum-W10-1","W10","Rumex sp.",0.01
"Plot111","f","Stratum-W10-1","W10","Sanguisorba minor",0.01
"Plot111","f","Stratum-W10-1","W10","Stachys germanica",0.02625
"Plot111","f","Stratum-W10-1","W10","Torilis arvensis",0.02625
"Plot111","f","Stratum-W10-1","W10","Trifolium campestre",0.03
"Plot112","f","Stratum-W10-1","W10","Achillea millefolium",0.09375
"Plot112","f","Stratum-W10-1","W10","Aegilops triuncialis",0.01
"Plot112","f","Stratum-W10-1","W10","Alyssum sp.",0.015
"Plot112","f","Stratum-W10-1","W10","Carex sp.",0.01
"Plot112","f","Stratum-W10-1","W10","Centaurea affinis",0.0925
"Plot112","f","Stratum-W10-1","W10","Crepis setosa",0.01
"Plot112","f","Stratum-W10-1","W10","Euphorbia sp.",0.01
"Plot112","f","Stratum-W10-1","W10","Ilex aquifolium",0.00125
"Plot112","f","Stratum-W10-1","W10","Lactuca sp.",0.00125
"Plot112","f","Stratum-W10-1","W10","Mentha sp.",0.00125
"Plot112","f","Stratum-W10-1","W10","Phleum pratense",0.0675
"Plot112","f","Stratum-W10-1","W10","Plantago lanceolata",0.025
"Plot112","f","Stratum-W10-1","W10","Potentilla recta",0.05125
"Plot112","f","Stratum-W10-1","W10","Rubus idaeus",0.005
"Plot112","f","Stratum-W10-1","W10","Salvia sp.",0.00125
"Plot112","f","Stratum-W10-1","W10","Sanguisorba minor",0.01
"Plot112","f","Stratum-W10-1","W10","Stachys germanica",0.005
"Plot112","f","Stratum-W10-1","W10","Thymus sibthorpii",0.04625
"Plot112","f","Stratum-W10-1","W10","Torilis arvensis",0.0675
"Plot112","f","Stratum-W10-1","W10","Verbascum sp.",0.03125
"Plot112","f","Stratum-W10-1","W10","Vicia grandiflora",0.02125
"Plot112","f","Stratum-W10-1","W10","Vicia hirsuta",0.00125
"Plot113","f","Stratum-W10-1","W10","Alyssum sp.",0.0025
"Plot113","f","Stratum-W10-1","W10","Carduus sp.",0.095
"Plot113","f","Stratum-W10-1","W10","Euphorbia sp.",0.01125
"Plot113","f","Stratum-W10-1","W10","Holcus lanatus",0.06125
"Plot113","f","Stratum-W10-1","W10","Hordeum bulbosum",0.04625
"Plot113","f","Stratum-W10-1","W10","Lolium perenne",0.00125
"Plot113","f","Stratum-W10-1","W10","Lotus corniculatus",0.0775
"Plot113","f","Stratum-W10-1","W10","Mentha sp.",0.02
"Plot113","f","Stratum-W10-1","W10","Plantago lanceolata",0.01125
"Plot113","f","Stratum-W10-1","W10","Poa sp.",0.005
"Plot113","f","Stratum-W10-1","W10","Potentilla recta",0.05625
"Plot113","f","Stratum-W10-1","W10","Pterocephalus perennis",0.0325
"Plot113","f","Stratum-W10-1","W10","Salvia sp.",0.0475
"Plot113","f","Stratum-W10-1","W10","Sanguisorba minor",0.00125
"Plot113","f","Stratum-W10-1","W10","Scolymus hispanicus",0.00125
"Plot113","f","Stratum-W10-1","W10","Sedum amplexicaule subsp. tenuifolium",0.02125
"Plot113","f","Stratum-W10-1","W10","Teucrium capitatum",0.05625
"Plot113","f","Stratum-W10-1","W10","Thymus sibthorpii",0.015
"Plot113","f","Stratum-W10-1","W10","Torilis arvensis",0.005
"Plot113","f","Stratum-W10-1","W10","Verbascum sp.",0.01
"Plot113","f","Stratum-W10-1","W10","Vicia hirsuta",0.01625
"Plot114","f","Stratum-W10-1","W10","Alyssum sp.",0.02125
"Plot114","f","Stratum-W10-1","W10","Carduus sp.",0.0675
