"stem_id","plotCode","focalOrBenchmark","landCover","vegClass","subplot","ind","ind_id","stratum","species","dbh_cm","ba_m2"
1,"PlotBm100","b","W17","W17","1",1,"PlotBm100_1","Stems >=10 cm DBH","Quercus pubescens",30,0.07068583470577035
2,"PlotBm100","b","W17","W17","2",2,"PlotBm100_2","Stems >=10 cm DBH","Carpinus orientalis",17,0.022698006922186254
3,"PlotBm100","b","W17","W17","2",3,"PlotBm100_3","Stems >=10 cm DBH","Carpinus orientalis",18,0.025446900494077322
4,"PlotBm100","b","W17","W17","3",4,"PlotBm100_4","Stems >=10 cm DBH","Quercus pubescens",46,0.16619025137490004
5,"PlotBm100","b","W17","W17","3",5,"PlotBm100_5","Stems >=10 cm DBH","Quercus pubescens",52,0.21237166338267002
6,"PlotBm100","b","W17","W17","3",6,"PlotBm100_6","Stems >=10 cm DBH","Carpinus orientalis",14,0.015393804002589986
7,"PlotBm101","b","W17","W17","1",1,"PlotBm101_1","Stems >=10 cm DBH","Quercus pubescens",26,0.053092915845667506
8,"PlotBm101","b","W17","W17","1",2,"PlotBm101_2","Stems >=10 cm DBH","Quercus pubescens",33,0.08552985999398212
9,"PlotBm101","b","W17","W17","2",3,"PlotBm101_3","Stems >=10 cm DBH","Quercus pubescens",25,0.04908738521234052
10,"PlotBm101","b","W17","W17","2",4,"PlotBm101_4","Stems >=10 cm DBH","Quercus pubescens",27,0.05725552611167398
11,"PlotBm101","b","W17","W17","2",5,"PlotBm101_5","Stems >=10 cm DBH","Ostrya carpinifolia",18,0.025446900494077322
12,"PlotBm101","b","W17","W17","3",6,"PlotBm101_6","Stems >=10 cm DBH","Quercus pubescens",42,0.13854423602330987
13,"PlotBm101","b","W17","W17","3",7,"PlotBm101_7","Stems >=10 cm DBH","Quercus pubescens",24,0.04523893421169302
14,"PlotBm101","b","W17","W17","3",8,"PlotBm101_8","Stems 2.5-10 cm DBH","Cornus mas",4,0.0012566370614359172
15,"PlotBm101","b","W17","W17","3",9,"PlotBm101_9","Stems >=10 cm DBH","Quercus pubescens",26,0.053092915845667506
1591,"PlotBm101","b","W17","W17","3",8,"PlotBm101_8","Stems 2.5-10 cm DBH","Cornus mas",6,0.0028274333882308137
1954,"PlotBm101","b","W17","W17","3",8,"PlotBm101_8","Stems 2.5-10 cm DBH","Cornus mas",6,0.0028274333882308137
1848,"PlotBm101","b","W17","W17","3",8,"PlotBm101_8","Stems 2.5-10 cm DBH","Cornus mas",7,0.0038484510006474965
18,"PlotBm102","b","W17","W17","3",3,"PlotBm102_3","Stems >=10 cm DBH","Quercus pubescens",32,0.0804247719318987
19,"PlotBm102","b","W17","W17","3",4,"PlotBm102_4","Stems >=10 cm DBH","Quercus pubescens",24,0.04523893421169302
17,"PlotBm102","b","W17","W17","2",2,"PlotBm102_2","Stems 2.5-10 cm DBH","Paliurus spina-christi",3,7.068583470577034e-4
22,"PlotBm102","b","W17","W17","3",7,"PlotBm102_7","Stems >=10 cm DBH","Juniperus oxycedrus",14,0.015393804002589986
1955,"PlotBm102","b","W17","W17","2",2,"PlotBm102_2","Stems 2.5-10 cm DBH","Paliurus spina-christi",3,7.068583470577034e-4
20,"PlotBm102","b","W17","W17","3",5,"PlotBm102_5","Stems >=10 cm DBH","Quercus pubescens",18,0.025446900494077322
21,"PlotBm102","b","W17","W17","3",6,"PlotBm102_6","Stems >=10 cm DBH","Quercus pubescens",42,0.13854423602330987
1592,"PlotBm102","b","W17","W17","2",2,"PlotBm102_2","Stems 2.5-10 cm DBH","Paliurus spina-christi",5,0.001963495408493621
16,"PlotBm102","b","W17","W17","1",1,"PlotBm102_1","Stems >=10 cm DBH","Quercus pubescens",33,0.08552985999398212
1849,"PlotBm102","b","W17","W17","2",2,"PlotBm102_2","Stems 2.5-10 cm DBH","Paliurus spina-christi",4,0.0012566370614359172
23,"PlotBm103","b","W17","W17","1",1,"PlotBm103_1","Stems >=10 cm DBH","Quercus pubescens",14,0.015393804002589986
24,"PlotBm103","b","W17","W17","1",2,"PlotBm103_2","Stems >=10 cm DBH","Quercus pubescens",43,0.14522012041218818
27,"PlotBm103","b","W17","W17","1",5,"PlotBm103_5","Stems 2.5-10 cm DBH","Carpinus orientalis",4,0.0012566370614359172
1594,"PlotBm103","b","W17","W17","1",7,"PlotBm103_7","Stems >=10 cm DBH","Carpinus orientalis",19,0.02835287369864788
25,"PlotBm103","b","W17","W17","1",3,"PlotBm103_3","Stems 2.5-10 cm DBH","Juniperus oxycedrus",9,0.0063617251235193305
26,"PlotBm103","b","W17","W17","1",4,"PlotBm103_4","Stems 2.5-10 cm DBH","Juniperus oxycedrus",8,0.005026548245743669
30,"PlotBm103","b","W17","W17","3",8,"PlotBm103_8","Stems >=10 cm DBH","Cercis siliquastrum",17,0.022698006922186254
1850,"PlotBm103","b","W17","W17","1",6,"PlotBm103_6","Stems >=10 cm DBH","Quercus pubescens",11,0.009503317777109124
29,"PlotBm103","b","W17","W17","1",7,"PlotBm103_7","Stems >=10 cm DBH","Carpinus orientalis",22,0.0380132711084365
1593,"PlotBm103","b","W17","W17","1",6,"PlotBm103_6","Stems >=10 cm DBH","Quercus pubescens",31,0.07547676350249478
28,"PlotBm103","b","W17","W17","1",6,"PlotBm103_6","Stems >=10 cm DBH","Quercus pubescens",22,0.0380132711084365
31,"PlotBm104","b","W17","W17","1",1,"PlotBm104_1","Stems >=10 cm DBH","Quercus pubescens",33,0.08552985999398212
34,"PlotBm104","b","W17","W17","3",4,"PlotBm104_4","Stems >=10 cm DBH","Quercus pubescens",47,0.17349445429449634
32,"PlotBm104","b","W17","W17","1",2,"PlotBm104_2","Stems >=10 cm DBH","Juniperus oxycedrus",12,0.011309733552923255
33,"PlotBm104","b","W17","W17","2",3,"PlotBm104_3","Stems >=10 cm DBH","Juniperus oxycedrus",10,0.007853981633974483
1595,"PlotBm104","b","W17","W17","1",2,"PlotBm104_2","Stems >=10 cm DBH","Juniperus oxycedrus",13,0.013273228961416876
36,"PlotBm105","b","W17","W17","1",2,"PlotBm105_2","Stems >=10 cm DBH","Quercus pubescens",47,0.17349445429449634
40,"PlotBm105","b","W17","W17","2",6,"PlotBm105_6","Stems >=10 cm DBH","Juniperus oxycedrus",12,0.011309733552923255
35,"PlotBm105","b","W17","W17","1",1,"PlotBm105_1","Stems >=10 cm DBH","Quercus pubescens",42,0.13854423602330987
1597,"PlotBm105","b","W17","W17","2",6,"PlotBm105_6","Stems 2.5-10 cm DBH","Juniperus oxycedrus",5,0.001963495408493621
37,"PlotBm105","b","W17","W17","1",3,"PlotBm105_3","Stems >=10 cm DBH","Carpinus orientalis",22,0.0380132711084365
38,"PlotBm105","b","W17","W17","2",4,"PlotBm105_4","Stems >=10 cm DBH","Juniperus oxycedrus",21,0.03463605900582747
39,"PlotBm105","b","W17","W17","2",5,"PlotBm105_5","Stems >=10 cm DBH","Juniperus oxycedrus",19,0.02835287369864788
1851,"PlotBm105","b","W17","W17","2",6,"PlotBm105_6","Stems 2.5-10 cm DBH","Juniperus oxycedrus",7,0.0038484510006474965
1596,"PlotBm105","b","W17","W17","2",4,"PlotBm105_4","Stems 2.5-10 cm DBH","Juniperus oxycedrus",9,0.0063617251235193305
49,"PlotBm106","b","W17","W17","3",9,"PlotBm106_9","Stems >=10 cm DBH","Carpinus orientalis",22,0.0380132711084365
50,"PlotBm106","b","W17","W17","3",10,"PlotBm106_10","Stems 2.5-10 cm DBH","Juniperus oxycedrus",8,0.005026548245743669
43,"PlotBm106","b","W17","W17","2",3,"PlotBm106_3","Stems >=10 cm DBH","Carpinus orientalis",14,0.015393804002589986
48,"PlotBm106","b","W17","W17","3",8,"PlotBm106_8","Stems >=10 cm DBH","Quercus pubescens",22,0.0380132711084365
41,"PlotBm106","b","W17","W17","1",1,"PlotBm106_1","Stems >=10 cm DBH","Quercus pubescens",28,0.061575216010359944
42,"PlotBm106","b","W17","W17","1",2,"PlotBm106_2","Stems >=10 cm DBH","Quercus pubescens",20,0.031415926535897934
46,"PlotBm106","b","W17","W17","2",6,"PlotBm106_6","Stems >=10 cm DBH","Quercus pubescens",26,0.053092915845667506
47,"PlotBm106","b","W17","W17","2",7,"PlotBm106_7","Stems >=10 cm DBH","Quercus pubescens",25,0.04908738521234052
1598,"PlotBm106","b","W17","W17","3",10,"PlotBm106_10","Stems 2.5-10 cm DBH","Juniperus oxycedrus",7,0.0038484510006474965
45,"PlotBm106","b","W17","W17","2",5,"PlotBm106_5","Stems >=10 cm DBH","Quercus pubescens",24,0.04523893421169302
44,"PlotBm106","b","W17","W17","2",4,"PlotBm106_4","Stems >=10 cm DBH","Carpinus orientalis",17,0.022698006922186254
51,"PlotBm107","b","W17","W17","1",1,"PlotBm107_1","Stems >=10 cm DBH","Quercus pubescens",17,0.022698006922186254
53,"PlotBm107","b","W17","W17","3",3,"PlotBm107_3","Stems >=10 cm DBH","Quercus pubescens",16,0.020106192982974676
1599,"PlotBm107","b","W17","W17","3",5,"PlotBm107_5","Stems >=10 cm DBH","Quercus pubescens",14,0.015393804002589986
52,"PlotBm107","b","W17","W17","2",2,"PlotBm107_2","Stems >=10 cm DBH","Quercus pubescens",11,0.009503317777109124
55,"PlotBm107","b","W17","W17","3",5,"PlotBm107_5","Stems >=10 cm DBH","Quercus pubescens",11,0.009503317777109124
1852,"PlotBm107","b","W17","W17","3",5,"PlotBm107_5","Stems >=10 cm DBH","Quercus pubescens",18,0.025446900494077322
54,"PlotBm107","b","W17","W17","3",4,"PlotBm107_4","Stems >=10 cm DBH","Quercus pubescens",21,0.03463605900582747
56,"PlotBm108","b","W17","W17","1",1,"PlotBm108_1","Stems >=10 cm DBH","Quercus pubescens",10,0.007853981633974483
58,"PlotBm108","b","W17","W17","2",3,"PlotBm108_3","Stems >=10 cm DBH","Quercus pubescens",12,0.011309733552923255
59,"PlotBm108","b","W17","W17","3",4,"PlotBm108_4","Stems >=10 cm DBH","Quercus pubescens",11,0.009503317777109124
60,"PlotBm108","b","W17","W17","3",5,"PlotBm108_5","Stems >=10 cm DBH","Quercus pubescens",17,0.022698006922186254
57,"PlotBm108","b","W17","W17","1",2,"PlotBm108_2","Stems >=10 cm DBH","Quercus pubescens",22,0.0380132711084365
64,"PlotBm109","b","W11","W11","1",4,"PlotBm109_4","Stems >=10 cm DBH","Quercus petraea",15,0.017671458676442587
65,"PlotBm109","b","W11","W11","1",5,"PlotBm109_5","Stems >=10 cm DBH","Quercus petraea",19,0.02835287369864788
67,"PlotBm109","b","W11","W11","1",7,"PlotBm109_7","Stems >=10 cm DBH","Quercus petraea",15,0.017671458676442587
76,"PlotBm109","b","W11","W11","2",16,"PlotBm109_16","Stems >=10 cm DBH","Quercus petraea",32,0.0804247719318987
77,"PlotBm109","b","W11","W11","2",17,"PlotBm109_17","Stems >=10 cm DBH","Quercus petraea",33,0.08552985999398212
66,"PlotBm109","b","W11","W11","1",6,"PlotBm109_6","Stems >=10 cm DBH","Quercus petraea",22,0.0380132711084365
75,"PlotBm109","b","W11","W11","2",15,"PlotBm109_15","Stems >=10 cm DBH","Quercus petraea",11,0.009503317777109124
80,"PlotBm109","b","W11","W11","2",20,"PlotBm109_20","Stems >=10 cm DBH","Quercus petraea",28,0.061575216010359944
68,"PlotBm109","b","W11","W11","1",8,"PlotBm109_8","Stems >=10 cm DBH","Quercus petraea",25,0.04908738521234052
78,"PlotBm109","b","W11","W11","2",18,"PlotBm109_18","Stems >=10 cm DBH","Quercus petraea",37,0.10752100856911068
79,"PlotBm109","b","W11","W11","2",19,"PlotBm109_19","Stems >=10 cm DBH","Quercus petraea",28,0.061575216010359944
61,"PlotBm109","b","W11","W11","1",1,"PlotBm109_1","Stems >=10 cm DBH","Quercus petraea",12,0.011309733552923255
62,"PlotBm109","b","W11","W11","1",2,"PlotBm109_2","Stems >=10 cm DBH","Quercus petraea",10,0.007853981633974483
69,"PlotBm109","b","W11","W11","1",9,"PlotBm109_9","Stems >=10 cm DBH","Quercus petraea",32,0.0804247719318987
1600,"PlotBm109","b","W11","W11","1",7,"PlotBm109_7","Stems >=10 cm DBH","Quercus petraea",11,0.009503317777109124
1601,"PlotBm109","b","W11","W11","2",13,"PlotBm109_13","Stems >=10 cm DBH","Quercus petraea",17,0.022698006922186254
1602,"PlotBm109","b","W11","W11","3",21,"PlotBm109_21","Stems >=10 cm DBH","Quercus petraea",19,0.02835287369864788
63,"PlotBm109","b","W11","W11","1",3,"PlotBm109_3","Stems >=10 cm DBH","Quercus petraea",17,0.022698006922186254
82,"PlotBm109","b","W11","W11","3",22,"PlotBm109_22","Stems >=10 cm DBH","Quercus petraea",21,0.03463605900582747
83,"PlotBm109","b","W11","W11","3",23,"PlotBm109_23","Stems >=10 cm DBH","Quercus petraea",19,0.02835287369864788
84,"PlotBm109","b","W11","W11","3",24,"PlotBm109_24","Stems >=10 cm DBH","Quercus petraea",21,0.03463605900582747
81,"PlotBm109","b","W11","W11","3",21,"PlotBm109_21","Stems >=10 cm DBH","Quercus petraea",11,0.009503317777109124
86,"PlotBm109","b","W11","W11","3",26,"PlotBm109_26","Stems >=10 cm DBH","Quercus petraea",42,0.13854423602330987
73,"PlotBm109","b","W11","W11","2",13,"PlotBm109_13","Stems 2.5-10 cm DBH","Quercus petraea",9,0.0063617251235193305
74,"PlotBm109","b","W11","W11","2",14,"PlotBm109_14","Stems >=10 cm DBH","Quercus petraea",19,0.02835287369864788
70,"PlotBm109","b","W11","W11","2",10,"PlotBm109_10","Stems >=10 cm DBH","Quercus petraea",21,0.03463605900582747
85,"PlotBm109","b","W11","W11","3",25,"PlotBm109_25","Stems >=10 cm DBH","Quercus petraea",33,0.08552985999398212
72,"PlotBm109","b","W11","W11","2",12,"PlotBm109_12","Stems >=10 cm DBH","Quercus petraea",14,0.015393804002589986
71,"PlotBm109","b","W11","W11","2",11,"PlotBm109_11","Stems >=10 cm DBH","Quercus petraea",16,0.020106192982974676
92,"PlotBm110","b","W11","W11","2",6,"PlotBm110_6","Stems 2.5-10 cm DBH","Carpinus orientalis",7,0.0038484510006474965
89,"PlotBm110","b","W11","W11","2",3,"PlotBm110_3","Stems >=10 cm DBH","Carpinus orientalis",21,0.03463605900582747
90,"PlotBm110","b","W11","W11","2",4,"PlotBm110_4","Stems >=10 cm DBH","Quercus pubescens",23,0.04154756284372501
95,"PlotBm110","b","W11","W11","3",9,"PlotBm110_9","Stems >=10 cm DBH","Quercus pubescens",28,0.061575216010359944
93,"PlotBm110","b","W11","W11","2",7,"PlotBm110_7","Stems >=10 cm DBH","Quercus pubescens",46,0.16619025137490004
96,"PlotBm110","b","W11","W11","3",10,"PlotBm110_10","Stems >=10 cm DBH","Quercus pubescens",35,0.09621127501618741
91,"PlotBm110","b","W11","W11","2",5,"PlotBm110_5","Stems >=10 cm DBH","Quercus pubescens",28,0.061575216010359944
87,"PlotBm110","b","W11","W11","1",1,"PlotBm110_1","Stems >=10 cm DBH","Quercus pubescens",30,0.07068583470577035
88,"PlotBm110","b","W11","W11","1",2,"PlotBm110_2","Stems >=10 cm DBH","Carpinus orientalis",15,0.017671458676442587
100,"PlotBm110","b","W11","W11","3",14,"PlotBm110_14","Stems >=10 cm DBH","Quercus pubescens",17,0.022698006922186254
94,"PlotBm110","b","W11","W11","2",8,"PlotBm110_8","Stems >=10 cm DBH","Carpinus orientalis",17,0.022698006922186254
98,"PlotBm110","b","W11","W11","3",12,"PlotBm110_12","Stems >=10 cm DBH","Quercus pubescens",28,0.061575216010359944
99,"PlotBm110","b","W11","W11","3",13,"PlotBm110_13","Stems >=10 cm DBH","Quercus pubescens",42,0.13854423602330987
97,"PlotBm110","b","W11","W11","3",11,"PlotBm110_11","Stems >=10 cm DBH","Carpinus orientalis",18,0.025446900494077322
107,"PlotBm111","b","W11","W11","2",7,"PlotBm111_7","Stems >=10 cm DBH","Carpinus orientalis",12,0.011309733552923255
102,"PlotBm111","b","W11","W11","1",2,"PlotBm111_2","Stems >=10 cm DBH","Carpinus orientalis",13,0.013273228961416876
103,"PlotBm111","b","W11","W11","1",3,"PlotBm111_3","Stems 2.5-10 cm DBH","Carpinus orientalis",8,0.005026548245743669
115,"PlotBm111","b","W11","W11","3",15,"PlotBm111_15","Stems >=10 cm DBH","Carpinus orientalis",10,0.007853981633974483
106,"PlotBm111","b","W11","W11","2",6,"PlotBm111_6","Stems >=10 cm DBH","Quercus pubescens",32,0.0804247719318987
108,"PlotBm111","b","W11","W11","2",8,"PlotBm111_8","Stems >=10 cm DBH","Carpinus orientalis",17,0.022698006922186254
104,"PlotBm111","b","W11","W11","1",4,"PlotBm111_4","Stems >=10 cm DBH","Quercus pubescens",29,0.0660519855417254
