"vegClass","lc.type","vegName"
"W21","Shrubland","Crataegus monogyna-Hedera helix scrub"
"W2","Flooded woodland","Salix cinerea-Betula pubescens-Phragmites australis woodland"
"M24","Mesic grassland","Molinia caerulea-Cirsium dissectum fen-meadow"
"W12","Forest","Fagus sylvatica-Mercurialis perennis woodland"
"W18","Forest","Pinus sylvestris-Hylocomium splendens woodland"
"U16","Tall-herb meadow","Luzula sylvatica-Vaccinium myrtillus tall-herb community"
"U17","Tall-herb meadow","Luzula sylvatica-Geum rivale tall-herb community"
"U4","Grassland","Festuca ovina-Agrostis capillaris-Galium saxatile grassland"
"W11","Forest","Quercus petraea-Betula pubescens-Oxalis acetosella woodland"
"W17","Forest","Quercus petraea-Betula pubescens-Dicranum majus woodland"
"W10","Forest","Quercus robur-Pteridium aquilinum-Rubus fruticosus woodland"
"W16","Forest","Quercus spp. – Betula spp. – Deschampsia flexuosa woodland"
